,0
Consensus_Y,0.19922958314418793
Change_Y,0.19751399755477905
Change_N,0.186279296875
Consensus_Q,0.18277797102928162
Consensus_M,0.18216782808303833
Consensus_K,0.1773737221956253
Change_T,0.17687271535396576
Consensus_I,0.16960757970809937
Consensus_C,0.16578969359397888
Change_D,0.16473475098609924
Consensus_D,0.15115968883037567
Consensus_L,0.14724625647068024
Change_A,0.13431750237941742
Change_K,0.11845314502716064
Consensus_P,0.11711803078651428
Consensus_T,0.11585976928472519
Change_L,0.11466766148805618
Change_G,0.11237242817878723
Change_Q,0.10883534699678421
Consensus_S,0.10731615871191025
Change_C,0.10402335226535797
Change_S,0.09736943989992142
Consensus_W,0.08181216567754745
Change_I,0.0757133886218071
Consensus_V,0.07529044896364212
Change_H,0.075226791203022
Consensus_G,0.07053632289171219
Consensus_H,0.06357208639383316
Consensus_A,0.05922960862517357
Change_V,0.05518611893057823
Consensus_R,0.05310366302728653
Change_R,0.05243901163339615
Consensus_N,0.043830081820487976
Consensus_F,0.04110468551516533
Change_M,0.032436057925224304
Change_W,0.019654424861073494
Change_P,0.010797375813126564
Domain_SPRY3-first,0.007308825850486755
Domain_P2,0.006418502423912287
Domain_Outside,0.0057689230889081955
Domain_SPRY1-second,0.000754397886339575
Domain_Central-domain,0.0005795331089757383
Domain_HD2,0.00037360514397732913
Domain_SPRY2-second,0.00032443043892271817
Domain_SPRY1-first,-0.001798677840270102
Domain_HD1,-0.0018948338693007827
Domain_SPRY3-second,-0.001933279330842197
Domain_SPRY1-third,-0.002457790309563279
Domain_Channel-domain,-0.002933820243924856
Domain_Handle-domain,-0.004528360441327095
Domain_NTD,-0.008091775700449944
Domain_SPRY2-first,-0.01354930829256773
Change_F,-0.024199524894356728
Domain_P1,-0.02473391219973564
Position,-0.08027789741754532
Conservation,-0.08398023992776871
Change_E,-0.20792391896247864
Consensus_E,-0.2592000663280487
