MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[20],0.0001,0.0,0,982,0.7325,0.6939,0.5505
"[30, 20]",0.0001,0.0,0,795,0.765,0.7328,0.594
"[60, 20]",0.0001,0.0,0,732,0.7715,0.74,0.604
"[60, 60, 20]",0.0001,0.0,0,821,0.7727,0.7411,0.6039
"[120, 60, 20]",0.0001,0.0,0,519,0.7728,0.7425,0.6075
[40],0.0001,0.0,0,1000,0.7533,0.7193,0.579
"[40, 40]",0.0001,0.0,0,529,0.765,0.7328,0.5954
"[60, 40]",0.0001,0.0,0,719,0.7676,0.737,0.5996
"[120, 60, 40]",0.0001,0.0,0,427,0.7675,0.7396,0.5984
[20],0.0001,0.1,0,902,0.7416,0.7039,0.5623
"[30, 20]",0.0001,0.1,0,991,0.7585,0.7256,0.5849
"[60, 20]",0.0001,0.1,0,748,0.7689,0.7387,0.6018
"[60, 60, 20]",0.0001,0.1,0,829,0.7792,0.7483,0.6133
"[120, 60, 20]",0.0001,0.1,0,680,0.7779,0.748,0.6122
[40],0.0001,0.1,0,957,0.752,0.7183,0.5759
"[40, 40]",0.0001,0.1,0,1000,0.7663,0.7332,0.5975
"[60, 40]",0.0001,0.1,0,649,0.7676,0.735,0.5986
"[120, 60, 40]",0.0001,0.1,0,288,0.7714,0.7421,0.6043
[20],0.0001,0.2,0,975,0.7403,0.7008,0.5587
"[30, 20]",0.0001,0.2,0,911,0.7676,0.7363,0.5973
"[60, 20]",0.0001,0.2,0,964,0.7702,0.7377,0.6017
"[60, 60, 20]",0.0001,0.2,0,667,0.7701,0.7377,0.6023
"[120, 60, 20]",0.0001,0.2,0,823,0.7714,0.7414,0.6036
[40],0.0001,0.2,0,965,0.7611,0.727,0.5893
"[40, 40]",0.0001,0.2,0,930,0.7689,0.7367,0.6017
"[60, 40]",0.0001,0.2,0,916,0.7714,0.74,0.6028
"[120, 60, 40]",0.0001,0.2,0,244,0.774,0.7421,0.608
[20],0.0001,0.3,0,995,0.7455,0.7085,0.567
"[30, 20]",0.0001,0.3,0,966,0.7688,0.7352,0.5989
"[60, 20]",0.0001,0.3,0,920,0.765,0.7314,0.5952
"[60, 60, 20]",0.0001,0.3,0,927,0.7805,0.7494,0.6182
"[120, 60, 20]",0.0001,0.3,0,978,0.7767,0.7477,0.61
[40],0.0001,0.3,0,938,0.7611,0.7262,0.5893
"[40, 40]",0.0001,0.3,0,974,0.7715,0.7394,0.6051
"[60, 40]",0.0001,0.3,0,763,0.7702,0.7384,0.6038
"[120, 60, 40]",0.0001,0.3,0,662,0.7741,0.7463,0.6068
[20],0.0001,0.4,0,980,0.7416,0.704,0.5614
"[30, 20]",0.0001,0.4,0,962,0.7702,0.737,0.6024
"[60, 20]",0.0001,0.4,0,727,0.7702,0.7363,0.6016
"[60, 60, 20]",0.0001,0.4,0,737,0.7689,0.736,0.6022
"[120, 60, 20]",0.0001,0.4,0,884,0.7754,0.7452,0.6096
[40],0.0001,0.4,0,979,0.7715,0.738,0.6047
"[40, 40]",0.0001,0.4,0,975,0.7689,0.7346,0.6008
"[60, 40]",0.0001,0.4,0,721,0.7754,0.7425,0.6113
"[120, 60, 40]",0.0001,0.4,0,448,0.7767,0.7442,0.6144
[20],0.0001,0.5,0,982,0.7533,0.7153,0.5781
"[30, 20]",0.0001,0.5,0,966,0.7702,0.7356,0.6028
"[60, 20]",0.0001,0.5,0,971,0.7702,0.7356,0.6033
"[60, 60, 20]",0.0001,0.5,0,986,0.7727,0.7391,0.6071
"[120, 60, 20]",0.0001,0.5,0,617,0.7689,0.7366,0.6015
[40],0.0001,0.5,0,949,0.7611,0.7257,0.5879
"[40, 40]",0.0001,0.5,0,830,0.7714,0.7393,0.6044
"[60, 40]",0.0001,0.5,0,839,0.7689,0.7359,0.6008
"[120, 60, 40]",0.0001,0.5,0,791,0.778,0.746,0.6125
[20],0.0001,0.6,0,987,0.7507,0.7119,0.5736
"[30, 20]",0.0001,0.6,0,999,0.7649,0.7308,0.5943
"[60, 20]",0.0001,0.6,0,993,0.7728,0.739,0.6078
"[60, 60, 20]",0.0001,0.6,0,771,0.7741,0.7401,0.6081
"[120, 60, 20]",0.0001,0.6,0,927,0.7702,0.7383,0.6023
[40],0.0001,0.6,0,1000,0.7597,0.7225,0.5883
"[40, 40]",0.0001,0.6,0,903,0.7728,0.7378,0.6066
"[60, 40]",0.0001,0.6,0,978,0.7689,0.7347,0.6009
"[120, 60, 40]",0.0001,0.6,0,862,0.774,0.7414,0.6073
[20],0.0001,0.7,0,981,0.7428,0.7016,0.5641
"[30, 20]",0.0001,0.7,0,952,0.7597,0.7212,0.5856
"[60, 20]",0.0001,0.7,0,999,0.7611,0.7243,0.5883
"[60, 60, 20]",0.0001,0.7,0,998,0.765,0.7322,0.5934
"[120, 60, 20]",0.0001,0.7,0,887,0.7728,0.7425,0.6055
[40],0.0001,0.7,0,1000,0.7506,0.7125,0.5742
"[40, 40]",0.0001,0.7,0,999,0.7611,0.7236,0.5902
"[60, 40]",0.0001,0.7,0,999,0.7662,0.7298,0.5964
"[120, 60, 40]",0.0001,0.7,0,960,0.7702,0.7383,0.6028
[20],0.0001,0.8,0,994,0.7377,0.6852,0.5545
"[30, 20]",0.0001,0.8,0,987,0.7233,0.6596,0.5346
"[60, 20]",0.0001,0.8,0,985,0.7416,0.6937,0.56
"[60, 60, 20]",0.0001,0.8,0,995,0.6922,0.6171,0.4879
"[120, 60, 20]",0.0001,0.8,0,971,0.7364,0.6942,0.5524
[40],0.0001,0.8,0,992,0.7429,0.6996,0.5632
"[40, 40]",0.0001,0.8,0,961,0.7454,0.6981,0.5661
"[60, 40]",0.0001,0.8,0,991,0.7428,0.7008,0.5613
"[120, 60, 40]",0.0001,0.8,0,994,0.7442,0.7126,0.5666
[20],0.0001,0.9,0,996,0.6844,0.5879,0.4797
"[30, 20]",0.0001,0.9,0,138,0.648,0.5661,0.4285
"[60, 20]",0.0001,0.9,0,152,0.5919,0.5468,0.419
"[60, 60, 20]",0.0001,0.9,0,148,0.621,0.571,0.4326
"[120, 60, 20]",0.0001,0.9,0,162,0.6298,0.5428,0.4109
[40],0.0001,0.9,0,905,0.7221,0.6505,0.5303
"[40, 40]",0.0001,0.9,0,82,0.5299,0.5536,0.4204
"[60, 40]",0.0001,0.9,0,95,0.6312,0.6029,0.4618
"[120, 60, 40]",0.0001,0.9,0,111,0.5766,0.5099,0.3911
[20],0.001,0.0,0,983,0.7442,0.7059,0.5653
"[30, 20]",0.001,0.0,0,819,0.7611,0.7304,0.5888
"[60, 20]",0.001,0.0,0,952,0.7663,0.734,0.5959
"[60, 60, 20]",0.001,0.0,0,924,0.7625,0.7349,0.5919
"[120, 60, 20]",0.001,0.0,0,668,0.7636,0.7378,0.5919
[40],0.001,0.0,0,999,0.7559,0.7228,0.582
"[40, 40]",0.001,0.0,0,788,0.7676,0.7363,0.6005
"[60, 40]",0.001,0.0,0,825,0.7702,0.7391,0.6037
"[120, 60, 40]",0.001,0.0,0,438,0.7741,0.7442,0.6067
[20],0.001,0.1,0,998,0.7416,0.7059,0.5612
"[30, 20]",0.001,0.1,0,770,0.7637,0.7305,0.5951
"[60, 20]",0.001,0.1,0,999,0.7663,0.7332,0.5979
"[60, 60, 20]",0.001,0.1,0,912,0.7728,0.7432,0.6075
"[120, 60, 20]",0.001,0.1,0,659,0.7714,0.7434,0.6035
[40],0.001,0.1,0,899,0.7559,0.7221,0.5832
"[40, 40]",0.001,0.1,0,819,0.7663,0.7325,0.5963
"[60, 40]",0.001,0.1,0,789,0.7715,0.7394,0.6052
"[120, 60, 40]",0.001,0.1,0,547,0.7753,0.7479,0.6104
[20],0.001,0.2,0,933,0.7468,0.7102,0.5687
"[30, 20]",0.001,0.2,0,984,0.7676,0.7343,0.5988
"[60, 20]",0.001,0.2,0,992,0.7676,0.7343,0.6002
"[60, 60, 20]",0.001,0.2,0,823,0.7779,0.7459,0.6134
"[120, 60, 20]",0.001,0.2,0,740,0.7779,0.7493,0.6141
[40],0.001,0.2,0,959,0.7611,0.7256,0.5898
"[40, 40]",0.001,0.2,0,838,0.7676,0.7343,0.5993
"[60, 40]",0.001,0.2,0,976,0.7754,0.7446,0.6112
"[120, 60, 40]",0.001,0.2,0,342,0.7689,0.7367,0.6013
[20],0.001,0.3,0,993,0.7468,0.7107,0.5695
"[30, 20]",0.001,0.3,0,778,0.765,0.7322,0.5946
"[60, 20]",0.001,0.3,0,994,0.7702,0.737,0.6031
