MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[20],0.0001,0.0,0,212,0.6587,0.6391,0.5564
"[30, 20]",0.0001,0.0,0,165,0.6485,0.6216,0.5507
"[60, 20]",0.0001,0.0,0,66,0.6454,0.6441,0.5559
"[60, 60, 20]",0.0001,0.0,0,137,0.6687,0.6489,0.5692
"[120, 60, 20]",0.0001,0.0,0,86,0.6673,0.6501,0.568
[40],0.0001,0.0,0,95,0.6622,0.6553,0.5661
"[40, 40]",0.0001,0.0,0,143,0.6621,0.6403,0.5625
"[60, 40]",0.0001,0.0,0,194,0.6671,0.6525,0.5641
"[120, 60, 40]",0.0001,0.0,0,89,0.6723,0.6511,0.5703
[20],0.0001,0.1,0,119,0.6542,0.6429,0.5631
"[30, 20]",0.0001,0.1,0,193,0.6584,0.6368,0.558
"[60, 20]",0.0001,0.1,0,168,0.6709,0.6548,0.57
"[60, 60, 20]",0.0001,0.1,0,125,0.6604,0.6403,0.5646
"[120, 60, 20]",0.0001,0.1,0,127,0.6707,0.6515,0.5715
[40],0.0001,0.1,0,162,0.674,0.6576,0.5734
"[40, 40]",0.0001,0.1,0,120,0.6571,0.628,0.5615
"[60, 40]",0.0001,0.1,0,49,0.686,0.6757,0.5875
"[120, 60, 40]",0.0001,0.1,0,43,0.6842,0.66,0.5885
[20],0.0001,0.2,0,226,0.6671,0.6502,0.566
"[30, 20]",0.0001,0.2,0,241,0.6637,0.6419,0.5634
"[60, 20]",0.0001,0.2,0,157,0.6688,0.6475,0.5706
"[60, 60, 20]",0.0001,0.2,0,154,0.6722,0.6521,0.5719
"[120, 60, 20]",0.0001,0.2,0,146,0.6809,0.6624,0.5791
[40],0.0001,0.2,0,137,0.6536,0.6348,0.5555
"[40, 40]",0.0001,0.2,0,193,0.6741,0.6566,0.5726
"[60, 40]",0.0001,0.2,0,111,0.6726,0.6511,0.5754
"[120, 60, 40]",0.0001,0.2,0,105,0.6655,0.6467,0.5646
[20],0.0001,0.3,0,306,0.6605,0.6443,0.5606
"[30, 20]",0.0001,0.3,0,352,0.6604,0.6467,0.5585
"[60, 20]",0.0001,0.3,0,210,0.669,0.6509,0.5696
"[60, 60, 20]",0.0001,0.3,0,152,0.6724,0.6477,0.5729
"[120, 60, 20]",0.0001,0.3,0,113,0.6757,0.6548,0.5792
[40],0.0001,0.3,0,328,0.657,0.6425,0.5562
"[40, 40]",0.0001,0.3,0,190,0.6639,0.6456,0.5623
"[60, 40]",0.0001,0.3,0,40,0.6676,0.6643,0.5728
"[120, 60, 40]",0.0001,0.3,0,99,0.6756,0.6527,0.5755
[20],0.0001,0.4,0,140,0.6979,0.6857,0.5975
"[30, 20]",0.0001,0.4,0,249,0.6757,0.6541,0.5786
"[60, 20]",0.0001,0.4,0,241,0.6708,0.6569,0.5722
"[60, 60, 20]",0.0001,0.4,0,171,0.679,0.6561,0.581
"[120, 60, 20]",0.0001,0.4,0,161,0.6826,0.665,0.5829
[40],0.0001,0.4,0,179,0.674,0.6563,0.5727
"[40, 40]",0.0001,0.4,0,207,0.674,0.6552,0.5745
"[60, 40]",0.0001,0.4,0,138,0.6706,0.6485,0.5737
"[120, 60, 40]",0.0001,0.4,0,138,0.6741,0.6574,0.5749
[20],0.0001,0.5,0,238,0.6673,0.6562,0.5701
"[30, 20]",0.0001,0.5,0,297,0.6774,0.6596,0.5776
"[60, 20]",0.0001,0.5,0,87,0.6726,0.6655,0.5808
"[60, 60, 20]",0.0001,0.5,0,233,0.6776,0.6616,0.5796
"[120, 60, 20]",0.0001,0.5,0,197,0.6774,0.6621,0.5776
[40],0.0001,0.5,0,171,0.6792,0.6586,0.5801
"[40, 40]",0.0001,0.5,0,191,0.6741,0.6474,0.5791
"[60, 40]",0.0001,0.5,0,67,0.6724,0.6547,0.573
"[120, 60, 40]",0.0001,0.5,0,165,0.6741,0.6569,0.5739
[20],0.0001,0.6,0,342,0.6672,0.6482,0.567
"[30, 20]",0.0001,0.6,0,387,0.6671,0.6488,0.5691
"[60, 20]",0.0001,0.6,0,297,0.6758,0.6589,0.5737
"[60, 60, 20]",0.0001,0.6,0,301,0.6809,0.6639,0.5823
"[120, 60, 20]",0.0001,0.6,0,226,0.6775,0.6576,0.5782
[40],0.0001,0.6,0,229,0.6724,0.6564,0.5745
"[40, 40]",0.0001,0.6,0,250,0.6741,0.6514,0.5774
"[60, 40]",0.0001,0.6,0,226,0.6827,0.6613,0.5817
"[120, 60, 40]",0.0001,0.6,0,210,0.6725,0.6555,0.573
[20],0.0001,0.7,0,233,0.6722,0.6585,0.5697
"[30, 20]",0.0001,0.7,0,534,0.6674,0.6495,0.5675
"[60, 20]",0.0001,0.7,0,358,0.6705,0.6501,0.569
"[60, 60, 20]",0.0001,0.7,0,498,0.6707,0.6557,0.5732
"[120, 60, 20]",0.0001,0.7,0,410,0.6757,0.6613,0.5759
[40],0.0001,0.7,0,244,0.6809,0.6663,0.5792
"[40, 40]",0.0001,0.7,0,489,0.664,0.6517,0.5639
"[60, 40]",0.0001,0.7,0,369,0.681,0.6668,0.5837
"[120, 60, 40]",0.0001,0.7,0,393,0.6689,0.6565,0.5719
[20],0.0001,0.8,0,641,0.669,0.6527,0.567
"[30, 20]",0.0001,0.8,0,923,0.6757,0.6563,0.5757
"[60, 20]",0.0001,0.8,0,666,0.6688,0.6501,0.5734
"[60, 60, 20]",0.0001,0.8,0,996,0.6534,0.6248,0.556
"[120, 60, 20]",0.0001,0.8,0,993,0.6551,0.6376,0.5574
[40],0.0001,0.8,0,481,0.6689,0.6533,0.5694
"[40, 40]",0.0001,0.8,0,691,0.6706,0.6541,0.5711
"[60, 40]",0.0001,0.8,0,532,0.6738,0.6545,0.5746
"[120, 60, 40]",0.0001,0.8,0,831,0.6603,0.6403,0.5651
[20],0.0001,0.9,0,988,0.6658,0.6429,0.5693
"[30, 20]",0.0001,0.9,0,275,0.5889,0.5979,0.5147
