MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[20],0.0001,0.0,0,978,0.8958,0.6387,0.2914
"[30, 20]",0.0001,0.0,0,1000,0.9012,0.7149,0.3658
"[60, 20]",0.0001,0.0,0,906,0.9016,0.7247,0.374
"[60, 60, 20]",0.0001,0.0,0,841,0.9003,0.7573,0.3968
"[120, 60, 20]",0.0001,0.0,0,572,0.9043,0.758,0.4077
[40],0.0001,0.0,0,938,0.8994,0.6646,0.3235
"[40, 40]",0.0001,0.0,0,890,0.903,0.735,0.3863
"[60, 40]",0.0001,0.0,0,615,0.9034,0.71,0.3704
"[120, 60, 40]",0.0001,0.0,0,378,0.9035,0.7544,0.4046
[20],0.0001,0.1,0,998,0.8967,0.6424,0.2973
"[30, 20]",0.0001,0.1,0,932,0.9048,0.7265,0.3863
"[60, 20]",0.0001,0.1,0,986,0.903,0.7382,0.3872
"[60, 60, 20]",0.0001,0.1,0,917,0.9012,0.7515,0.3927
"[120, 60, 20]",0.0001,0.1,0,657,0.9039,0.7594,0.4079
[40],0.0001,0.1,0,959,0.898,0.6639,0.3202
"[40, 40]",0.0001,0.1,0,963,0.9053,0.7442,0.4008
"[60, 40]",0.0001,0.1,0,854,0.9025,0.7284,0.3802
"[120, 60, 40]",0.0001,0.1,0,580,0.9066,0.7705,0.4242
[20],0.0001,0.2,0,908,0.8971,0.6411,0.2989
"[30, 20]",0.0001,0.2,0,988,0.903,0.7223,0.3786
"[60, 20]",0.0001,0.2,0,984,0.9026,0.7348,0.3854
"[60, 60, 20]",0.0001,0.2,0,888,0.9025,0.7602,0.4061
"[120, 60, 20]",0.0001,0.2,0,537,0.9048,0.7583,0.4096
[40],0.0001,0.2,0,963,0.898,0.6639,0.3201
"[40, 40]",0.0001,0.2,0,898,0.9035,0.7369,0.3904
"[60, 40]",0.0001,0.2,0,891,0.9007,0.7337,0.3805
"[120, 60, 40]",0.0001,0.2,0,593,0.9039,0.7642,0.4106
[20],0.0001,0.3,0,996,0.8971,0.6443,0.2997
"[30, 20]",0.0001,0.3,0,978,0.9025,0.7237,0.3775
"[60, 20]",0.0001,0.3,0,977,0.9025,0.7332,0.3842
"[60, 60, 20]",0.0001,0.3,0,933,0.9012,0.7594,0.4012
"[120, 60, 20]",0.0001,0.3,0,755,0.9025,0.765,0.4107
[40],0.0001,0.3,0,1000,0.898,0.6687,0.3231
"[40, 40]",0.0001,0.3,0,991,0.9021,0.7344,0.3854
"[60, 40]",0.0001,0.3,0,890,0.9021,0.7313,0.3817
"[120, 60, 40]",0.0001,0.3,0,558,0.9034,0.7623,0.4105
[20],0.0001,0.4,0,955,0.8967,0.6456,0.3004
"[30, 20]",0.0001,0.4,0,986,0.9021,0.7172,0.3707
"[60, 20]",0.0001,0.4,0,985,0.9048,0.7344,0.3933
"[60, 60, 20]",0.0001,0.4,0,890,0.9016,0.7629,0.4051
"[120, 60, 20]",0.0001,0.4,0,880,0.9007,0.7639,0.4034
[40],0.0001,0.4,0,975,0.8989,0.6645,0.3225
"[40, 40]",0.0001,0.4,0,921,0.903,0.7271,0.3803
"[60, 40]",0.0001,0.4,0,826,0.9034,0.7273,0.3814
"[120, 60, 40]",0.0001,0.4,0,674,0.9039,0.7658,0.4147
[20],0.0001,0.5,0,974,0.8967,0.644,0.2989
"[30, 20]",0.0001,0.5,0,988,0.9003,0.7082,0.3608
"[60, 20]",0.0001,0.5,0,998,0.903,0.724,0.3788
"[60, 60, 20]",0.0001,0.5,0,914,0.9021,0.76,0.4047
"[120, 60, 20]",0.0001,0.5,0,834,0.903,0.7621,0.4083
[40],0.0001,0.5,0,988,0.8971,0.6602,0.3141
"[40, 40]",0.0001,0.5,0,978,0.903,0.7255,0.3806
"[60, 40]",0.0001,0.5,0,938,0.9016,0.7263,0.3752
"[120, 60, 40]",0.0001,0.5,0,934,0.9025,0.7665,0.4125
[20],0.0001,0.6,0,985,0.8962,0.6342,0.2901
"[30, 20]",0.0001,0.6,0,999,0.9021,0.7013,0.3621
"[60, 20]",0.0001,0.6,0,998,0.903,0.7129,0.3705
"[60, 60, 20]",0.0001,0.6,0,986,0.9007,0.7465,0.3904
"[120, 60, 20]",0.0001,0.6,0,928,0.9021,0.7552,0.4019
[40],0.0001,0.6,0,886,0.898,0.6544,0.3122
"[40, 40]",0.0001,0.6,0,1000,0.9012,0.715,0.3664
"[60, 40]",0.0001,0.6,0,981,0.9043,0.7199,0.3798
"[120, 60, 40]",0.0001,0.6,0,924,0.9021,0.7615,0.4061
[20],0.0001,0.7,0,690,0.8967,0.606,0.2698
"[30, 20]",0.0001,0.7,0,998,0.8971,0.6555,0.3088
"[60, 20]",0.0001,0.7,0,950,0.8989,0.6692,0.3265
"[60, 60, 20]",0.0001,0.7,0,992,0.8998,0.7175,0.3645
"[120, 60, 20]",0.0001,0.7,0,734,0.9044,0.7121,0.3762
[40],0.0001,0.7,0,950,0.8971,0.6491,0.3037
"[40, 40]",0.0001,0.7,0,987,0.9025,0.6999,0.3624
"[60, 40]",0.0001,0.7,0,977,0.9034,0.7084,0.3708
"[120, 60, 40]",0.0001,0.7,0,1000,0.9003,0.7462,0.3903
[20],0.0001,0.8,0,795,0.8908,0.563,0.2195
"[30, 20]",0.0001,0.8,0,990,0.88,0.5122,0.1445
"[60, 20]",0.0001,0.8,0,921,0.889,0.5556,0.2072
"[60, 60, 20]",0.0001,0.8,0,977,0.88,0.514,0.1458
"[120, 60, 20]",0.0001,0.8,0,989,0.8849,0.5357,0.1784
[40],0.0001,0.8,0,538,0.8967,0.6028,0.2674
"[40, 40]",0.0001,0.8,0,911,0.8967,0.6171,0.2773
"[60, 40]",0.0001,0.8,0,907,0.8994,0.6456,0.3078
"[120, 60, 40]",0.0001,0.8,0,925,0.9007,0.6814,0.3443
[20],0.0001,0.9,0,48,0.8741,0.5568,0.1837
"[30, 20]",0.0001,0.9,0,36,0.7826,0.5237,0.1333
"[60, 20]",0.0001,0.9,0,28,0.668,0.5207,0.139
"[60, 60, 20]",0.0001,0.9,0,34,0.7981,0.504,0.127
"[120, 60, 20]",0.0001,0.9,0,31,0.7505,0.5121,0.1256
[40],0.0001,0.9,0,964,0.8899,0.5593,0.2131
"[40, 40]",0.0001,0.9,0,11,0.3773,0.5336,0.1341
"[60, 40]",0.0001,0.9,0,11,0.2724,0.5196,0.1297
"[120, 60, 40]",0.0001,0.9,0,17,0.5862,0.5198,0.1362
[20],0.001,0.0,0,976,0.8962,0.6375,0.2927
"[30, 20]",0.001,0.0,0,962,0.903,0.7207,0.3752
"[60, 20]",0.001,0.0,0,839,0.9043,0.7278,0.3847
"[60, 60, 20]",0.001,0.0,0,566,0.9048,0.7536,0.4069
"[120, 60, 20]",0.001,0.0,0,432,0.9035,0.7449,0.3965
[40],0.001,0.0,0,992,0.898,0.6607,0.3156
"[40, 40]",0.001,0.0,0,942,0.903,0.7334,0.3853
"[60, 40]",0.001,0.0,0,703,0.9035,0.7194,0.3762
"[120, 60, 40]",0.001,0.0,0,495,0.9044,0.7613,0.4102
[20],0.001,0.1,0,992,0.8967,0.6378,0.2935
"[30, 20]",0.001,0.1,0,994,0.9039,0.7245,0.3819
"[60, 20]",0.001,0.1,0,996,0.9043,0.7325,0.3869
"[60, 60, 20]",0.001,0.1,0,948,0.9057,0.7636,0.4154
"[120, 60, 20]",0.001,0.1,0,981,0.9025,0.7665,0.4114
[40],0.001,0.1,0,972,0.8985,0.6642,0.3215
"[40, 40]",0.001,0.1,0,901,0.9026,0.73,0.3836
"[60, 40]",0.001,0.1,0,868,0.9062,0.7336,0.3924
"[120, 60, 40]",0.001,0.1,0,448,0.9043,0.758,0.4093
[20],0.001,0.2,0,987,0.8976,0.6461,0.3039
"[30, 20]",0.001,0.2,0,992,0.9016,0.72,0.3715
"[60, 20]",0.001,0.2,0,993,0.9039,0.7387,0.3933
"[60, 60, 20]",0.001,0.2,0,938,0.9034,0.7638,0.4099
"[120, 60, 20]",0.001,0.2,0,831,0.9021,0.7663,0.4105
[40],0.001,0.2,0,993,0.8989,0.6645,0.3229
"[40, 40]",0.001,0.2,0,1000,0.9025,0.7331,0.3853
"[60, 40]",0.001,0.2,0,887,0.9021,0.7328,0.383
"[120, 60, 40]",0.001,0.2,0,561,0.9039,0.7626,0.4099
[20],0.001,0.3,0,997,0.8967,0.6456,0.3
"[30, 20]",0.001,0.3,0,998,0.9021,0.725,0.3768
"[60, 20]",0.001,0.3,0,999,0.9021,0.7329,0.3811
"[60, 60, 20]",0.001,0.3,0,621,0.9057,0.7541,0.4104
"[120, 60, 20]",0.001,0.3,0,661,0.9048,0.7663,0.4156
[40],0.001,0.3,0,955,0.8985,0.6642,0.3199
"[40, 40]",0.001,0.3,0,994,0.9062,0.7432,0.402
"[60, 40]",0.001,0.3,0,958,0.9039,0.7371,0.3898
"[120, 60, 40]",0.001,0.3,0,701,0.9053,0.7681,0.4195
[20],0.001,0.4,0,940,0.8971,0.6459,0.3011
"[30, 20]",0.001,0.4,0,992,0.9016,0.7153,0.3692
"[60, 20]",0.001,0.4,0,979,0.903,0.7318,0.3835
"[60, 60, 20]",0.001,0.4,0,906,0.9039,0.7674,0.4154
"[120, 60, 20]",0.001,0.4,0,708,0.9021,0.7615,0.4054
[40],0.001,0.4,0,980,0.898,0.6687,0.3223
"[40, 40]",0.001,0.4,0,901,0.9044,0.731,0.3867
"[60, 40]",0.001,0.4,0,955,0.9025,0.7348,0.3843
"[120, 60, 40]",0.001,0.4,0,724,0.9021,0.7631,0.408
[20],0.001,0.5,0,1000,0.8962,0.6438,0.2971
"[30, 20]",0.001,0.5,0,980,0.8994,0.7076,0.3562
"[60, 20]",0.001,0.5,0,985,0.9021,0.7234,0.3749
"[60, 60, 20]",0.001,0.5,0,927,0.9025,0.7586,0.4049
"[120, 60, 20]",0.001,0.5,0,751,0.9034,0.7607,0.4085
[40],0.001,0.5,0,986,0.8976,0.662,0.3161
"[40, 40]",0.001,0.5,0,885,0.9048,0.7249,0.3835
"[60, 40]",0.001,0.5,0,854,0.9034,0.7242,0.3786
"[120, 60, 40]",0.001,0.5,0,709,0.9034,0.7623,0.41
[20],0.001,0.6,0,980,0.8958,0.6372,0.2891
"[30, 20]",0.001,0.6,0,1000,0.9016,0.7042,0.3625
"[60, 20]",0.001,0.6,0,979,0.9034,0.7115,0.3726
"[60, 60, 20]",0.001,0.6,0,909,0.9021,0.7425,0.3917
"[120, 60, 20]",0.001,0.6,0,974,0.9034,0.7575,0.4068
[40],0.001,0.6,0,996,0.8971,0.6618,0.315
"[40, 40]",0.001,0.6,0,956,0.9039,0.7166,0.3768
"[60, 40]",0.001,0.6,0,997,0.9048,0.7265,0.3876
"[120, 60, 40]",0.001,0.6,0,974,0.9012,0.7611,0.4012
[20],0.001,0.7,0,574,0.8967,0.6014,0.2668
"[30, 20]",0.001,0.7,0,989,0.898,0.6655,0.3242
"[60, 20]",0.001,0.7,0,945,0.9007,0.6798,0.3411
"[60, 60, 20]",0.001,0.7,0,933,0.9035,0.7211,0.3791
"[120, 60, 20]",0.001,0.7,0,690,0.9012,0.7103,0.364
[40],0.001,0.7,0,964,0.8971,0.6475,0.3036
"[40, 40]",0.001,0.7,0,910,0.903,0.6922,0.3558
"[60, 40]",0.001,0.7,0,970,0.9025,0.7047,0.3655
"[120, 60, 40]",0.001,0.7,0,953,0.9012,0.7451,0.3903
[20],0.001,0.8,0,953,0.8917,0.5667,0.226
"[30, 20]",0.001,0.8,0,922,0.8822,0.5231,0.1612
"[60, 20]",0.001,0.8,0,970,0.8903,0.5612,0.2161
"[60, 60, 20]",0.001,0.8,0,991,0.88,0.514,0.1453
"[120, 60, 20]",0.001,0.8,0,946,0.8836,0.5302,0.1698
[40],0.001,0.8,0,891,0.898,0.6146,0.2789
"[40, 40]",0.001,0.8,0,905,0.8994,0.625,0.2947
"[60, 40]",0.001,0.8,0,938,0.8958,0.6324,0.2861
"[120, 60, 40]",0.001,0.8,0,986,0.9012,0.6912,0.3503
[20],0.001,0.9,0,60,0.8768,0.5473,0.1904
"[30, 20]",0.001,0.9,0,33,0.7696,0.4958,0.1264
"[60, 20]",0.001,0.9,0,35,0.8462,0.5219,0.1479
"[60, 60, 20]",0.001,0.9,0,23,0.5363,0.5207,0.1354
"[120, 60, 20]",0.001,0.9,0,34,0.7316,0.5122,0.1294
[40],0.001,0.9,0,978,0.8917,0.5651,0.225
"[40, 40]",0.001,0.9,0,25,0.7503,0.5274,0.1383
"[60, 40]",0.001,0.9,0,26,0.8795,0.5138,0.142
"[120, 60, 40]",0.001,0.9,0,19,0.7823,0.5137,0.1357
[20],0.01,0.0,0,982,0.8967,0.6393,0.2956
"[30, 20]",0.01,0.0,0,986,0.9012,0.7228,0.3723
"[60, 20]",0.01,0.0,0,919,0.9044,0.7294,0.3892
"[60, 60, 20]",0.01,0.0,0,744,0.9021,0.7598,0.4029
"[120, 60, 20]",0.01,0.0,0,488,0.9043,0.7549,0.4061
[40],0.01,0.0,0,999,0.8985,0.6642,0.321
"[40, 40]",0.01,0.0,0,892,0.9044,0.7342,0.3908
"[60, 40]",0.01,0.0,0,647,0.9039,0.7165,0.3759
"[120, 60, 40]",0.01,0.0,0,347,0.9043,0.7469,0.398
[20],0.01,0.1,0,961,0.8971,0.6411,0.2993
"[30, 20]",0.01,0.1,0,927,0.903,0.7191,0.3764
"[60, 20]",0.01,0.1,0,844,0.9025,0.7206,0.3735
"[60, 60, 20]",0.01,0.1,0,696,0.9021,0.7408,0.3874
"[120, 60, 20]",0.01,0.1,0,556,0.903,0.7525,0.3998
[40],0.01,0.1,0,967,0.8971,0.657,0.3105
"[40, 40]",0.01,0.1,0,906,0.9043,0.7373,0.3924
"[60, 40]",0.01,0.1,0,705,0.9039,0.7165,0.3753
"[120, 60, 40]",0.01,0.1,0,649,0.9025,0.7619,0.4064
[20],0.01,0.2,0,982,0.8976,0.6495,0.3051
"[30, 20]",0.01,0.2,0,995,0.903,0.7254,0.3784
"[60, 20]",0.01,0.2,0,851,0.9025,0.7236,0.377
"[60, 60, 20]",0.01,0.2,0,986,0.9016,0.758,0.4001
"[120, 60, 20]",0.01,0.2,0,768,0.9043,0.7692,0.4167
[40],0.01,0.2,0,991,0.898,0.6623,0.3179
"[40, 40]",0.01,0.2,0,988,0.9034,0.7401,0.391
"[60, 40]",0.01,0.2,0,825,0.9048,0.736,0.3926
"[120, 60, 40]",0.01,0.2,0,532,0.9057,0.7652,0.4175
[20],0.01,0.3,0,962,0.8971,0.6459,0.3019
"[30, 20]",0.01,0.3,0,994,0.9025,0.7204,0.3752
"[60, 20]",0.01,0.3,0,971,0.9039,0.7355,0.3889
"[60, 60, 20]",0.01,0.3,0,983,0.9021,0.7584,0.4041
"[120, 60, 20]",0.01,0.3,0,956,0.9021,0.771,0.4136
