MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[20],0.0001,0.0,0,322,0.8717,0.7083,0.3832
"[30, 20]",0.0001,0.0,0,136,0.8717,0.7009,0.3687
"[60, 20]",0.0001,0.0,0,149,0.8717,0.7012,0.366
"[60, 60, 20]",0.0001,0.0,0,75,0.8717,0.7155,0.4048
"[120, 60, 20]",0.0001,0.0,0,100,0.8717,0.6898,0.3785
[40],0.0001,0.0,0,181,0.8702,0.7002,0.3688
"[40, 40]",0.0001,0.0,0,229,0.8717,0.6919,0.3699
"[60, 40]",0.0001,0.0,0,259,0.8717,0.6942,0.3657
"[120, 60, 40]",0.0001,0.0,0,79,0.8717,0.6974,0.3772
[20],0.0001,0.1,0,313,0.8703,0.7185,0.3818
"[30, 20]",0.0001,0.1,0,146,0.8717,0.7083,0.3886
"[60, 20]",0.0001,0.1,0,375,0.8717,0.6898,0.3772
"[60, 60, 20]",0.0001,0.1,0,129,0.8717,0.6998,0.363
"[120, 60, 20]",0.0001,0.1,0,120,0.8717,0.6933,0.3709
[40],0.0001,0.1,0,294,0.8717,0.6995,0.3715
"[40, 40]",0.0001,0.1,0,277,0.8717,0.6908,0.3551
"[60, 40]",0.0001,0.1,0,313,0.8717,0.689,0.366
"[120, 60, 40]",0.0001,0.1,0,84,0.8717,0.7034,0.3715
[20],0.0001,0.2,0,297,0.8703,0.7062,0.3639
"[30, 20]",0.0001,0.2,0,231,0.8717,0.6957,0.3567
"[60, 20]",0.0001,0.2,0,130,0.8717,0.7038,0.393
"[60, 60, 20]",0.0001,0.2,0,141,0.8717,0.6955,0.3901
"[120, 60, 20]",0.0001,0.2,0,117,0.8717,0.6918,0.3625
[40],0.0001,0.2,0,170,0.8717,0.7099,0.389
"[40, 40]",0.0001,0.2,0,139,0.8717,0.7004,0.3842
"[60, 40]",0.0001,0.2,0,113,0.8717,0.7115,0.3808
"[120, 60, 40]",0.0001,0.2,0,134,0.8717,0.6923,0.3843
