,0
Change_K,0.09280569851398468
Change_E,0.08503054082393646
Consensus_R,0.08017240464687347
Change_A,0.07788266241550446
Change_G,0.07761005312204361
Change_N,0.07350852340459824
Change_L,0.0685885027050972
Consensus_K,0.0656718760728836
Consensus_D,0.06491412967443466
Change_V,0.06440285593271255
Consensus_A,0.06366340816020966
Consensus_M,0.0630921944975853
Consensus_L,0.062095917761325836
Change_Q,0.06017296388745308
Change_H,0.05941534414887428
Change_I,0.056534212082624435
Consensus_E,0.05599558725953102
Change_S,0.05460866540670395
Change_T,0.05353790149092674
Change_C,0.049573443830013275
Position,0.04697025567293167
Consensus_Q,0.04446491226553917
Consensus_I,0.04055333510041237
Consensus_P,0.03321065381169319
Change_D,0.03104201890528202
Change_P,0.028147613629698753
Consensus_T,0.028125029057264328
Change_M,0.025075914338231087
Change_Y,0.024979351088404655
Consensus_S,0.02120731957256794
Change_F,0.019985821098089218
Domain_HD1,0.019681131467223167
Consensus_V,0.018342914059758186
Domain_Channel-domain,0.014864491298794746
Domain_P2,0.014771032147109509
Change_R,0.012898731045424938
Domain_SPRY3-second,0.011373444460332394
Domain_Central-domain,0.009755587205290794
Consensus_H,0.008509128354489803
Change_W,0.008487752638757229
Domain_P1,0.004061967134475708
Domain_SPRY1-second,0.003845625789836049
Domain_NTD,0.0021071264054626226
Domain_Outside,0.0003403086157049984
Domain_SPRY1-third,-0.00020909258455503732
Domain_SPRY1-first,-0.002061030827462673
Domain_SPRY3-first,-0.004256902728229761
Domain_SPRY2-second,-0.005113386549055576
Domain_Handle-domain,-0.005252494942396879
Consensus_C,-0.007801797706633806
Domain_HD2,-0.008604224771261215
Domain_SPRY2-first,-0.018935997039079666
Consensus_W,-0.02311978116631508
Consensus_G,-0.0262904055416584
Consensus_Y,-0.04524499550461769
Consensus_N,-0.0514669232070446
Consensus_F,-0.05692369490861893
Conservation,-0.06409744173288345
