,0
Change_K,0.23996016383171082
Change_Q,0.18024984002113342
Change_R,0.15903796255588531
Change_S,0.15634827315807343
Change_V,0.15258626639842987
Change_L,0.14942197501659393
Change_E,0.14814144372940063
Change_C,0.14684513211250305
Change_I,0.14676950871944427
Change_M,0.13872909545898438
Consensus_A,0.13212448358535767
Change_D,0.13165061175823212
Change_N,0.13052712380886078
Consensus_M,0.12949588894844055
Change_Y,0.11236461997032166
Consensus_Q,0.10800816863775253
Change_G,0.10040661692619324
Change_H,0.09848357737064362
Change_T,0.09499679505825043
Change_A,0.09245208650827408
Change_F,0.09145697206258774
Change_P,0.08763597160577774
Consensus_D,0.07210603356361389
Consensus_T,0.07027170062065125
Consensus_R,0.05707694962620735
Change_W,0.04750869423151016
Consensus_E,0.04245864599943161
Position,0.03861885890364647
Consensus_H,0.028887983411550522
Domain_Transmemberane-domain-5,0.017317090183496475
Consensus_I,0.017290061339735985
Consensus_C,0.015364421531558037
Consensus_L,0.006436151918023825
Domain_Transmemberane-domain-2,0.0037814422976225615
Domain_PAS-domain,0.0035569623578339815
Domain_phosphorylation-site-6,0.0033741674851626158
Domain_phosphorylation-site-4,0.003016143571585417
Domain_Transmemberane-domain-3,0.002546631032600999
Domain_Transmemberane-domain-6,0.002370064612478018
Domain_phosphorylation-site-3,0.002231766702607274
Domain_Transmemberane-domain-4,0.0019491571001708508
Domain_phosphorylation-site-1,0.0019205742282792926
Domain_CAP-Effector-domain,0.0016041098861023784
Domain_Transmemberane-domain-1,0.0015505327610298991
Domain_phosphorylation-site-7,0.0013769797515124083
Domain_SSTK-interacting-protein,-0.0013160191010683775
Consensus_V,-0.0016070740530267358
Domain_Methylation,-0.0033847142476588488
Consensus_X,-0.007488331291824579
Domain_phosphorylation-site-2,-0.00838537234812975
Domain_Glycolysation,-0.010677731595933437
Domain_phosphorylation-site-5,-0.012731356546282768
Consensus_S,-0.023510796949267387
Conservation,-0.02710554003715515
Consensus_G,-0.028580965474247932
Consensus_K,-0.03201114013791084
Consensus_P,-0.05918142572045326
Consensus_W,-0.08076289296150208
Consensus_Y,-0.09854128956794739
Consensus_N,-0.10479733347892761
Consensus_F,-0.11910939961671829
Change_X,-0.14455190300941467
