,0
Position,
Conservation,
Signal_To_Noise,
Consensus_I,0.02746414579451084
Consensus_D,0.013824486173689365
Change_E,0.012172756716609001
Change_I,0.011102920398116112
Change_N,0.010638314299285412
Domain_phosphorylation-site-2,0.010397909209132195
Domain_phosphorylation-site-6,0.010192761197686195
Domain_Transmemberane-domain-5,0.009643688797950745
Change_X,0.009331729263067245
Consensus_C,0.009188761934638023
Domain_phosphorylation-site-5,0.008854631334543228
Consensus_E,0.007191556505858898
Change_S,0.007128044497221708
Consensus_W,0.006823362782597542
Change_V,0.0065475651063025
Consensus_F,0.00638920022174716
Domain_Transmemberane-domain-3,0.006328443065285683
Consensus_N,0.00498890271410346
Change_Q,0.0047435760498046875
Consensus_K,0.004213279578834772
Consensus_R,0.00416160561144352
Domain_CAP-Effector-domain,0.003908545710146427
Domain_Methylation,0.0038975330535322428
Consensus_Q,0.0037004277110099792
Change_K,0.0031731342896819115
Consensus_H,0.0023345653899013996
Consensus_V,0.0021142824552953243
Domain_Glycolysation,0.0019430385436862707
Domain_phosphorylation-site-4,0.001006861450150609
Consensus_L,0.000888653623405844
Change_L,0.0005982257425785065
Change_H,0.0005551018984988332
Consensus_T,-0.001345886499620974
Change_M,-0.0014719610335305333
Domain_phosphorylation-site-3,-0.0014723703498020768
Domain_phosphorylation-site-1,-0.0015480030560865998
Change_G,-0.0016442076303064823
Change_W,-0.0018329535378143191
Domain_Transmemberane-domain-2,-0.0023674671538174152
Consensus_P,-0.002670739544555545
Change_Y,-0.0027421184349805117
Change_A,-0.0038780225440859795
Consensus_A,-0.004386609885841608
Change_C,-0.005365582183003426
Domain_Transmemberane-domain-4,-0.005486880894750357
Change_R,-0.005545623134821653
Domain_PAS-domain,-0.0058937398716807365
Consensus_S,-0.0060346354730427265
Domain_Transmemberane-domain-1,-0.006214138586074114
Consensus_X,-0.00824718363583088
Consensus_M,-0.00952248927205801
Domain_SSTK-interacting-protein,-0.009929914958775043
Domain_phosphorylation-site-7,-0.010755090042948723
Change_T,-0.012327178381383419
Change_F,-0.013243469409644604
Domain_Transmemberane-domain-6,-0.01403420977294445
Change_D,-0.014155963435769081
Consensus_G,-0.01600150391459465
Change_P,-0.01647910661995411
Consensus_Y,-0.01751164346933365
