,0
Consensus_D,0.10420152544975281
Consensus_N,0.08557481318712234
Consensus_P,0.0850171148777008
Change_L,0.08156973868608475
Change_V,0.08009669929742813
Consensus_M,0.07629108428955078
Change_G,0.07294071465730667
Change_Q,0.06945623457431793
Change_S,0.06738459318876266
Consensus_E,0.05791344866156578
Change_K,0.05758078023791313
Change_N,0.057449959218502045
Change_Y,0.051377084106206894
Consensus_G,0.04971424490213394
Change_A,0.04944721609354019
Position,0.04856519401073456
Consensus_T,0.04229314625263214
Consensus_V,0.04158730059862137
Consensus_Q,0.039957646280527115
Consensus_K,0.03813988342881203
Consensus_F,0.031061764806509018
Consensus_H,0.025557707995176315
Change_T,0.02275237627327442
Consensus_A,0.022656261920928955
Consensus_W,0.021871155127882957
Change_I,0.019617149606347084
Change_M,0.019143121317029
Domain_Transmemberane-5,0.01791730709373951
Change_H,0.012703020125627518
Consensus_S,0.010915586724877357
Consensus_X,0.008620250038802624
Domain_Transmemberane-3,0.008599674329161644
Domain_Transmemberane-4,0.008165853098034859
Change_E,0.006264425814151764
Domain_phosphorylation-site-1,0.005677327048033476
Domain_Interaction-with-KCNE1-C-terminus,0.005285344552248716
Domain_phosphorylation-site-2,0.0018741284729912877
Domain_phosphorylation-site-3,-0.0008679665043018758
Domain_Transmemberane-2,-0.001391087775118649
Domain_Transmemberane-1,-0.0015040204161778092
Consensus_Y,-0.0029529700987040997
Domain_Selected-filter ,-0.003382881870493293
Change_C,-0.005316546186804771
Change_R,-0.005599573254585266
Consensus_L,-0.006578489206731319
Domain_Interaction-with-AKAP9,-0.009006917476654053
Domain_C-terminal-assembly-domain,-0.009323002770543098
Consensus_C,-0.01015993021428585
Domain_Transmemberane-6,-0.014034349471330643
Change_X,-0.027726832777261734
Change_D,-0.02897161804139614
Change_W,-0.028983931988477707
Consensus_R,-0.029462169855833054
Change_F,-0.0335482619702816
Change_P,-0.04260002076625824
Consensus_I,-0.06569857895374298
Conservation,-0.09124783426523209
