Penalty,C,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
l1,0.0001,1,epoch_0,0.6374,0.003,0.5,0.0,0.3626,0.003,0,0.6374,0.5,0.3626,
l1,0.001,1,epoch_0,0.6374,0.003,0.5,0.0,0.3626,0.003,0,0.6374,0.5,0.3626,
l1,0.01,1,epoch_0,0.707,0.2037,0.8586,0.1629,0.8102,0.1903,0,0.7061,0.7786,0.6145,2.5838
l1,0.1,1,epoch_0,0.7524,0.2166,0.8553,0.2236,0.8326,0.2341,0,0.7515,0.7995,0.6353,0.9454
l1,1.0,1,epoch_0,0.7729,0.1857,0.8351,0.206,0.798,0.2353,0,0.7719,0.8336,0.6877,0.7549
l1,10.0,1,epoch_0,0.7377,0.1739,0.7902,0.215,0.7466,0.2456,0,0.7368,0.7862,0.6133,0.5924
l1,100.0,1,epoch_0,0.7349,0.1732,0.7721,0.2207,0.7333,0.2523,0,0.7339,0.7697,0.5961,0.5607
l1,1000.0,1,epoch_0,0.7378,0.1744,0.7702,0.2209,0.7324,0.2514,0,0.7368,0.7649,0.5932,0.5584
l2,0.0001,1,epoch_0,0.7519,0.1872,0.8634,0.2125,0.8537,0.214,0,0.7515,0.8161,0.6744,10.5569
l2,0.001,1,epoch_0,0.7578,0.1949,0.8636,0.214,0.8544,0.2143,0,0.7573,0.8152,0.6712,2.9467
l2,0.01,1,epoch_0,0.7593,0.197,0.8645,0.2177,0.8489,0.2245,0,0.7588,0.8131,0.6593,1.2992
l2,0.1,1,epoch_0,0.764,0.1823,0.8391,0.2149,0.7978,0.2327,0,0.7632,0.8121,0.6475,0.9314
l2,1.0,1,epoch_0,0.745,0.1698,0.8066,0.2149,0.7587,0.2456,0,0.7442,0.8074,0.6448,0.741
l2,10.0,1,epoch_0,0.7378,0.1698,0.7912,0.2223,0.7493,0.2488,0,0.7368,0.7939,0.6274,0.6054
l2,100.0,1,epoch_0,0.7378,0.1703,0.7756,0.2217,0.7354,0.2502,0,0.7368,0.7754,0.6028,0.5655
l2,1000.0,1,epoch_0,0.7378,0.1726,0.7702,0.2219,0.7317,0.2527,0,0.7368,0.7674,0.594,0.5587
