MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[30, 20]",0.0001,0,1,epoch_132,0.7017,0.1331,0.8437,0.206,0.8032,0.2216,31,0.3626,0.8227,0.7013,69.234
"[60, 60]",0.0001,0,1,epoch_84,0.6741,0.09,0.8428,0.1892,0.8076,0.2142,30,0.6579,0.8124,0.6884,18.0848
"[60, 60, 40]",0.0001,0,1,epoch_75,0.6696,0.0902,0.8413,0.1935,0.8107,0.2098,30,0.6623,0.8083,0.6826,38.7511
"[120, 60, 20]",0.0001,0,1,epoch_63,0.7194,0.1407,0.8283,0.1996,0.7956,0.2163,79,0.7208,0.8051,0.65,2.1794
"[120, 60, 40]",0.0001,0,1,epoch_55,0.6814,0.1143,0.8281,0.1973,0.7937,0.2142,62,0.6974,0.8034,0.6476,2.7255
"[30, 20]",0.0001,0,3,epoch_46,0.7064,0.2154,0.8489,0.199,0.8155,0.2164,6,0.3626,0.8111,0.7121,132.1022
"[60, 60]",0.0001,0,3,epoch_61,0.6493,0.0871,0.8436,0.2045,0.8099,0.2244,81,0.6871,0.8097,0.6524,2.3086
"[60, 60, 40]",0.0001,0,3,epoch_58,0.6522,0.0641,0.8403,0.204,0.8151,0.2107,80,0.6827,0.8088,0.6579,2.1567
"[120, 60, 20]",0.0001,0,3,epoch_36,0.7283,0.1689,0.832,0.2006,0.806,0.2186,67,0.7105,0.8032,0.6442,3.8081
"[120, 60, 40]",0.0001,0,3,epoch_30,0.645,0.0745,0.835,0.1967,0.8081,0.2144,58,0.6827,0.8087,0.6566,3.148
"[30, 20]",0.0001,0.2,1,epoch_120,0.6885,0.1275,0.8511,0.2068,0.8116,0.2253,37,0.383,0.8274,0.7045,63.4544
"[60, 60]",0.0001,0.2,1,epoch_75,0.6638,0.0729,0.8441,0.192,0.8135,0.2155,37,0.6579,0.8112,0.6875,14.3504
"[60, 60, 40]",0.0001,0.2,1,epoch_80,0.6682,0.0968,0.8444,0.1994,0.8199,0.2072,36,0.6564,0.8067,0.6779,31.994
"[120, 60, 20]",0.0001,0.2,1,epoch_79,0.712,0.1379,0.8376,0.2012,0.8073,0.218,82,0.7193,0.8056,0.647,2.4169
"[120, 60, 40]",0.0001,0.2,1,epoch_78,0.7076,0.1413,0.8383,0.2013,0.8035,0.2182,65,0.6827,0.806,0.649,3.0737
"[30, 20]",0.0001,0.2,3,epoch_59,0.7429,0.1665,0.851,0.2027,0.8176,0.2223,6,0.3626,0.8081,0.7089,132.4239
"[60, 60]",0.0001,0.2,3,epoch_63,0.6464,0.0823,0.8479,0.2074,0.8172,0.2246,80,0.6754,0.8103,0.6521,2.7523
"[60, 60, 40]",0.0001,0.2,3,epoch_78,0.6537,0.0836,0.8478,0.2095,0.8259,0.2137,80,0.6594,0.8096,0.6562,2.7245
"[120, 60, 20]",0.0001,0.2,3,epoch_53,0.6596,0.0914,0.837,0.2043,0.8108,0.2225,83,0.712,0.8065,0.6439,2.4243
"[120, 60, 40]",0.0001,0.2,3,epoch_59,0.6567,0.0906,0.8445,0.2034,0.8144,0.2209,61,0.6637,0.8113,0.6562,3.4667
"[30, 20]",0.0001,0.4,1,epoch_138,0.674,0.1206,0.8562,0.2085,0.8202,0.2292,41,0.4094,0.8287,0.7038,65.0002
"[60, 60]",0.0001,0.4,1,epoch_86,0.6624,0.0777,0.8487,0.1958,0.8193,0.2159,42,0.6564,0.8121,0.6843,13.959
"[60, 60, 40]",0.0001,0.4,1,epoch_84,0.6566,0.0739,0.8492,0.2044,0.8306,0.2088,65,0.6564,0.8115,0.6752,9.102
"[120, 60, 20]",0.0001,0.4,1,epoch_89,0.6915,0.1288,0.8445,0.2046,0.8188,0.2203,33,0.6579,0.788,0.6489,79.2264
"[120, 60, 40]",0.0001,0.4,1,epoch_85,0.6974,0.1417,0.8466,0.2031,0.8153,0.2178,86,0.7076,0.8074,0.6463,2.1995
"[30, 20]",0.0001,0.4,3,epoch_66,0.7075,0.1477,0.8523,0.205,0.8224,0.2228,5,0.3626,0.8036,0.7065,137.6029
"[60, 60]",0.0001,0.4,3,epoch_87,0.6624,0.0941,0.8543,0.2101,0.8272,0.2249,87,0.6623,0.813,0.6555,3.1858
"[60, 60, 40]",0.0001,0.4,3,epoch_79,0.6479,0.0664,0.853,0.2105,0.835,0.2135,68,0.6564,0.8098,0.6578,8.4038
"[120, 60, 20]",0.0001,0.4,3,epoch_83,0.6537,0.088,0.8486,0.2075,0.8213,0.2283,68,0.6433,0.807,0.6471,9.1313
"[120, 60, 40]",0.0001,0.4,3,epoch_70,0.6464,0.0855,0.852,0.2056,0.8261,0.2235,68,0.6447,0.8122,0.6551,4.2012
"[30, 20]",0.0001,0.6,1,epoch_176,0.6624,0.093,0.858,0.2081,0.8258,0.2259,64,0.7485,0.8293,0.7009,53.082
"[60, 60]",0.0001,0.6,1,epoch_132,0.7177,0.1288,0.854,0.2044,0.8261,0.222,70,0.6564,0.8173,0.6899,9.257
"[60, 60, 40]",0.0001,0.6,1,epoch_136,0.6841,0.1137,0.8544,0.2067,0.8321,0.2171,81,0.6564,0.8188,0.6929,16.1631
"[120, 60, 20]",0.0001,0.6,1,epoch_121,0.6493,0.0907,0.8498,0.2084,0.8261,0.2263,74,0.6564,0.8107,0.6808,29.3472
"[120, 60, 40]",0.0001,0.6,1,epoch_121,0.6901,0.1405,0.8506,0.2096,0.8217,0.2212,82,0.655,0.8116,0.6598,9.2135
"[30, 20]",0.0001,0.6,3,epoch_116,0.6479,0.0719,0.857,0.2084,0.8291,0.2272,10,0.3626,0.8088,0.7077,135.1244
"[60, 60]",0.0001,0.6,3,epoch_111,0.6711,0.1006,0.859,0.2137,0.8347,0.2275,63,0.6535,0.8161,0.6597,12.1717
"[60, 60, 40]",0.0001,0.6,3,epoch_123,0.645,0.085,0.8606,0.2128,0.8445,0.2182,64,0.6374,0.8125,0.6713,37.9388
"[120, 60, 20]",0.0001,0.6,3,epoch_118,0.6406,0.0806,0.8566,0.2107,0.8336,0.2302,68,0.6564,0.8135,0.6654,36.8369
"[120, 60, 40]",0.0001,0.6,3,epoch_102,0.6406,0.0806,0.857,0.2107,0.8315,0.2297,64,0.6535,0.8149,0.6636,19.8252
"[30, 20]",0.001,0,1,epoch_16,0.6914,0.13,0.8449,0.205,0.806,0.2184,3,0.3772,0.8289,0.7024,70.0791
"[60, 60]",0.001,0,1,epoch_13,0.7016,0.1129,0.8458,0.1942,0.8146,0.2142,4,0.6564,0.8088,0.6851,11.1234
"[60, 60, 40]",0.001,0,1,epoch_13,0.7075,0.1146,0.8416,0.2003,0.8116,0.2163,0,0.3626,0.7993,0.6788,161.7829
"[120, 60, 20]",0.001,0,1,epoch_9,0.7047,0.1297,0.8299,0.1953,0.7964,0.2133,4,0.7193,0.7883,0.6476,22.6124
"[120, 60, 40]",0.001,0,1,epoch_9,0.6944,0.119,0.8328,0.1961,0.796,0.2135,7,0.6623,0.7993,0.6423,3.975
"[30, 20]",0.001,0,3,epoch_2,0.3626,0.003,0.8501,0.1959,0.8138,0.2158,0,0.3626,0.8186,0.7142,131.0942
"[60, 60]",0.001,0,3,epoch_7,0.6493,0.0721,0.8416,0.2032,0.8119,0.2205,10,0.6652,0.8096,0.6534,2.2531
"[60, 60, 40]",0.001,0,3,epoch_10,0.6493,0.0691,0.8424,0.2058,0.8161,0.2134,11,0.652,0.8084,0.6555,2.0912
"[120, 60, 20]",0.001,0,3,epoch_9,0.6886,0.1132,0.8368,0.2026,0.8057,0.2184,9,0.6886,0.8027,0.6433,4.0446
"[120, 60, 40]",0.001,0,3,epoch_8,0.6741,0.0927,0.8399,0.2016,0.8078,0.2184,8,0.674,0.809,0.6556,2.6807
"[30, 20]",0.001,0.2,1,epoch_18,0.6958,0.1311,0.8504,0.2052,0.8132,0.2206,3,0.3684,0.8272,0.7025,71.3008
"[60, 60]",0.001,0.2,1,epoch_9,0.6595,0.0608,0.8447,0.1912,0.8186,0.2102,5,0.6564,0.8084,0.6827,8.773
"[60, 60, 40]",0.001,0.2,1,epoch_11,0.6624,0.0747,0.843,0.1986,0.8187,0.2103,4,0.6564,0.8038,0.6764,31.8047
"[120, 60, 20]",0.001,0.2,1,epoch_10,0.6929,0.1309,0.836,0.1967,0.805,0.2138,11,0.7003,0.7942,0.6318,2.3839
"[120, 60, 40]",0.001,0.2,1,epoch_8,0.6624,0.0919,0.8367,0.1977,0.8054,0.2131,4,0.6535,0.7938,0.6412,17.3304
"[30, 20]",0.001,0.2,3,epoch_2,0.3626,0.003,0.853,0.1969,0.8201,0.2139,0,0.3626,0.8144,0.7077,130.4257
"[60, 60]",0.001,0.2,3,epoch_9,0.6493,0.0834,0.8474,0.209,0.82,0.2249,12,0.6901,0.8102,0.6532,1.8227
"[60, 60, 40]",0.001,0.2,3,epoch_12,0.6551,0.0866,0.8489,0.2097,0.8259,0.2159,12,0.655,0.8096,0.6548,1.958
"[120, 60, 20]",0.001,0.2,3,epoch_7,0.6479,0.0825,0.8374,0.2053,0.8125,0.2206,10,0.6725,0.8026,0.6401,3.4297
"[120, 60, 40]",0.001,0.2,3,epoch_9,0.6595,0.0913,0.8458,0.2046,0.8157,0.2221,10,0.6871,0.81,0.6519,1.8201
"[30, 20]",0.001,0.4,1,epoch_19,0.687,0.1247,0.8546,0.2086,0.8216,0.2213,3,0.3655,0.8225,0.696,73.0062
"[60, 60]",0.001,0.4,1,epoch_10,0.658,0.0629,0.8469,0.1982,0.8182,0.2202,4,0.6564,0.8065,0.6786,13.9457
"[60, 60, 40]",0.001,0.4,1,epoch_12,0.6537,0.0828,0.8468,0.2068,0.8249,0.2131,1,0.4942,0.7929,0.6824,154.7918
"[120, 60, 20]",0.001,0.4,1,epoch_12,0.6928,0.1307,0.8407,0.2033,0.8121,0.2206,18,0.7354,0.7987,0.6236,1.1971
"[120, 60, 40]",0.001,0.4,1,epoch_10,0.6667,0.0972,0.8436,0.2053,0.8171,0.2174,4,0.6564,0.7849,0.6324,25.7549
"[30, 20]",0.001,0.4,3,epoch_15,0.6566,0.0847,0.8561,0.211,0.8273,0.2269,0,0.3626,0.8119,0.6991,135.7254
"[60, 60]",0.001,0.4,3,epoch_9,0.6435,0.0778,0.8526,0.2109,0.8271,0.2264,3,0.655,0.8112,0.6523,23.3456
"[60, 60, 40]",0.001,0.4,3,epoch_12,0.6435,0.0745,0.8523,0.2133,0.8328,0.2183,9,0.6564,0.801,0.6481,6.3581
"[120, 60, 20]",0.001,0.4,3,epoch_15,0.7278,0.1466,0.852,0.2086,0.822,0.2265,14,0.7032,0.803,0.6368,1.917
"[120, 60, 40]",0.001,0.4,3,epoch_9,0.6464,0.0689,0.8497,0.2078,0.8268,0.2231,4,0.6374,0.807,0.6531,29.2357
"[30, 20]",0.001,0.6,1,epoch_18,0.6566,0.0744,0.8577,0.2086,0.8253,0.2242,4,0.4108,0.8112,0.6959,74.6561
"[60, 60]",0.001,0.6,1,epoch_17,0.7177,0.1573,0.8533,0.2017,0.8271,0.2141,4,0.6535,0.8059,0.6784,19.0916
"[60, 60, 40]",0.001,0.6,1,epoch_17,0.6783,0.104,0.8524,0.2046,0.832,0.2122,3,0.655,0.8132,0.6862,132.9988
"[120, 60, 20]",0.001,0.6,1,epoch_17,0.6667,0.1117,0.8512,0.2066,0.8288,0.2202,17,0.6667,0.8021,0.6374,3.1043
