,Coefficients
Position,-0.08984924979753978
Conservation,0.1941793686115686
SigNoise,0.2517114326903969
Consensus_A,-0.017668804661605038
Consensus_C,0.00391601348104499
Consensus_D,-0.01610917780228853
Consensus_E,0.01122081313352468
Consensus_F,-0.015857433017830522
Consensus_G,0.006950242528724083
Consensus_H,-0.01541295665875424
Consensus_I,0.02265750604394969
Consensus_K,-0.013422461974589905
Consensus_L,0.01192578022826248
Consensus_M,0.001391836583557847
Consensus_N,-0.00788573340887032
Consensus_P,-0.03555534564853326
Consensus_Q,-0.017163259738055638
Consensus_R,-0.002494129660472461
Consensus_S,0.008170568767478348
Consensus_T,-0.023556334806451258
Consensus_V,-0.039008937283234235
Consensus_W,0.018885074814274354
Consensus_Y,0.03463577046254182
Consensus_X,0.0
Change_A,-0.009805615175809513
Change_C,-0.009957333944267458
Change_D,0.04190704114115855
Change_E,-0.011994819439648316
Change_F,0.04455493610632275
Change_G,0.014623962613250037
Change_H,0.0021728020501727008
Change_I,-0.01247566005149517
Change_K,-0.0038466912263722982
Change_L,-0.029805994445707522
Change_M,0.0035028200052714077
Change_N,-0.012018749691252177
Change_P,0.04121763374675191
Change_Q,-0.03723589225898115
Change_R,0.0055737588183889355
Change_S,-0.054690589592737954
Change_T,-0.027530747327228513
Change_V,-0.047925888376561365
Change_W,0.014389901121040263
Change_Y,-0.011835687216613908
Change_X,0.016799844526991677
Domain_Transmemberane-6,0.016316071347523907
Domain_Interaction-with-KCNE1-C-terminus,0.03985505525847018
Domain_Interaction-with-AKAP9,0.010036222807992202
Domain_Transmemberane-5,0.017374685872593273
Domain_Transmemberane-2,-0.00749421306994201
Domain_Transmemberane-3,-0.013402389429312234
Domain_C-terminal-assembly-domain,0.0036864286685806416
Domain_Selected-filter ,0.033870068018223246
Domain_Transmemberane-1,0.01012811552423431
Domain_Transmemberane-4,0.014770788485913433
Domain_Outside,-0.20952180210160376
PSSM,-0.1820304515459156
RateOfEvolution,-0.5611319835902449
