Penalty,C,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
l1,0.0001,1,epoch_0,0.5675,0.0049,0.5,0.0,0.4325,0.0049,0,0.5674,0.5,0.4326,
l1,0.001,1,epoch_0,0.5675,0.0049,0.5,0.0,0.4325,0.0049,0,0.5674,0.5,0.4326,
l1,0.01,1,epoch_0,0.7898,0.1361,0.8967,0.0967,0.8582,0.1438,0,0.7884,0.8231,0.6757,6.1047
l1,0.1,1,epoch_0,0.808,0.1392,0.8838,0.1229,0.846,0.1743,0,0.807,0.8744,0.7998,1.0854
l1,1.0,1,epoch_0,0.7656,0.1199,0.8467,0.1652,0.8157,0.2003,0,0.7651,0.8311,0.7052,0.8166
l1,10.0,1,epoch_0,0.7358,0.1446,0.8145,0.1834,0.7955,0.2055,0,0.7349,0.7827,0.6241,0.5995
l1,100.0,1,epoch_0,0.7311,0.1456,0.7969,0.1926,0.7794,0.2075,0,0.7302,0.7613,0.5933,0.5517
l1,1000.0,1,epoch_0,0.7219,0.149,0.7835,0.1963,0.7654,0.2127,0,0.7209,0.747,0.577,0.5236
l2,0.0001,1,epoch_0,0.8037,0.1504,0.8776,0.1086,0.8467,0.1452,0,0.8023,0.8703,0.8243,54.867
l2,0.001,1,epoch_0,0.8085,0.1459,0.8786,0.1088,0.8469,0.1468,0,0.807,0.871,0.825,6.4372
l2,0.01,1,epoch_0,0.8083,0.1331,0.8848,0.1093,0.8488,0.155,0,0.807,0.8739,0.8246,1.6604
l2,0.1,1,epoch_0,0.8034,0.1343,0.8822,0.1196,0.84,0.1742,0,0.8023,0.8718,0.8083,1.0671
l2,1.0,1,epoch_0,0.7636,0.1215,0.8515,0.1492,0.8157,0.1887,0,0.7628,0.8418,0.7459,0.8378
l2,10.0,1,epoch_0,0.7382,0.1433,0.8209,0.1714,0.7966,0.1993,0,0.7372,0.7998,0.6666,0.6493
l2,100.0,1,epoch_0,0.7311,0.146,0.8043,0.1842,0.7863,0.202,0,0.7302,0.7715,0.6111,0.5674
l2,1000.0,1,epoch_0,0.7266,0.1485,0.7917,0.1946,0.7734,0.2085,0,0.7256,0.7556,0.5864,0.536
