MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[30, 20]",0.0001,0,1,epoch_205,0.7543,0.1473,0.8537,0.1224,0.8153,0.1697,189,0.7488,0.8464,0.7919,4.7889
"[60, 60]",0.0001,0,1,epoch_50,0.7472,0.1295,0.8577,0.1198,0.8324,0.1542,42,0.7535,0.8457,0.7931,19.6999
"[60, 60, 40]",0.0001,0,1,epoch_82,0.745,0.1355,0.8561,0.1194,0.8223,0.1656,41,0.7814,0.844,0.7845,54.2192
"[120, 60, 20]",0.0001,0,1,epoch_64,0.7738,0.1351,0.8629,0.1116,0.8325,0.148,39,0.5047,0.8641,0.8211,45.896
"[120, 60, 40]",0.0001,0,1,epoch_38,0.7968,0.1311,0.8665,0.1161,0.8341,0.1553,42,0.8093,0.8639,0.8165,20.4975
"[30, 20]",0.0001,0,3,epoch_36,0.4325,0.0049,0.8646,0.1203,0.8291,0.1626,160,0.7744,0.847,0.7945,6.8316
"[60, 60]",0.0001,0,3,epoch_69,0.7494,0.1272,0.8604,0.1172,0.827,0.1583,25,0.7558,0.8614,0.8052,42.367
"[60, 60, 40]",0.0001,0,3,epoch_98,0.7562,0.138,0.8582,0.1199,0.8199,0.1682,68,0.7512,0.8537,0.7869,12.8938
"[120, 60, 20]",0.0001,0,3,epoch_37,0.5432,0.1128,0.8712,0.1051,0.8402,0.143,47,0.7279,0.8618,0.8105,34.4278
"[120, 60, 40]",0.0001,0,3,epoch_8,0.4325,0.0049,0.8807,0.1086,0.8497,0.1446,24,0.714,0.8732,0.8206,53.6443
"[30, 20]",0.0001,0.2,1,epoch_266,0.7544,0.1483,0.853,0.1254,0.8189,0.1725,181,0.7442,0.8434,0.769,6.5173
"[60, 60]",0.0001,0.2,1,epoch_55,0.7469,0.1415,0.8622,0.117,0.8356,0.1529,47,0.7465,0.8475,0.7945,18.8455
"[60, 60, 40]",0.0001,0.2,1,epoch_115,0.7517,0.1347,0.862,0.1165,0.8278,0.1635,37,0.7302,0.846,0.7857,82.88
"[120, 60, 20]",0.0001,0.2,1,epoch_72,0.8013,0.1215,0.8643,0.11,0.8335,0.1459,36,0.4349,0.8611,0.8151,62.8713
"[120, 60, 40]",0.0001,0.2,1,epoch_63,0.7942,0.1317,0.8667,0.1135,0.8353,0.1524,36,0.7837,0.8653,0.8149,32.1027
"[30, 20]",0.0001,0.2,3,epoch_25,0.4325,0.0049,0.864,0.1245,0.829,0.1656,190,0.7721,0.8469,0.786,5.0812
"[60, 60]",0.0001,0.2,3,epoch_73,0.7518,0.1245,0.8614,0.1189,0.8255,0.1645,37,0.7884,0.8628,0.8023,29.6064
"[60, 60, 40]",0.0001,0.2,3,epoch_125,0.7611,0.1485,0.8615,0.1196,0.8231,0.1698,91,0.7488,0.8529,0.7818,6.6521
"[120, 60, 20]",0.0001,0.2,3,epoch_24,0.4325,0.0049,0.8715,0.1057,0.8417,0.1427,68,0.793,0.8605,0.8068,17.9174
"[120, 60, 40]",0.0001,0.2,3,epoch_12,0.4325,0.0049,0.8816,0.1074,0.8507,0.1448,39,0.7977,0.8712,0.815,28.7934
"[30, 20]",0.0001,0.4,1,epoch_604,0.7618,0.1502,0.8555,0.1411,0.8213,0.1824,213,0.7465,0.8494,0.7869,5.8845
"[60, 60]",0.0001,0.4,1,epoch_58,0.7471,0.1392,0.8628,0.1158,0.8342,0.1542,57,0.7442,0.8487,0.794,17.7781
"[60, 60, 40]",0.0001,0.4,1,epoch_149,0.761,0.1422,0.8669,0.1156,0.8311,0.1635,77,0.7209,0.8481,0.7787,24.2937
"[120, 60, 20]",0.0001,0.4,1,epoch_105,0.7988,0.1245,0.8699,0.1086,0.8361,0.1488,61,0.7326,0.863,0.8125,34.644
"[120, 60, 40]",0.0001,0.4,1,epoch_80,0.7681,0.136,0.87,0.1143,0.8377,0.154,61,0.7884,0.8637,0.8091,16.6082
"[30, 20]",0.0001,0.4,3,epoch_51,0.4325,0.0049,0.864,0.1185,0.8305,0.1582,69,0.5209,0.8524,0.7924,78.3427
"[60, 60]",0.0001,0.4,3,epoch_102,0.7472,0.1232,0.8684,0.1161,0.8302,0.1636,36,0.7977,0.8619,0.8007,36.8528
"[60, 60, 40]",0.0001,0.4,3,epoch_144,0.7704,0.1367,0.8662,0.1183,0.8262,0.1705,112,0.7512,0.8562,0.7796,6.0025
"[120, 60, 20]",0.0001,0.4,3,epoch_18,0.4325,0.0049,0.8687,0.1061,0.8411,0.1418,68,0.8,0.8629,0.8059,28.9523
"[120, 60, 40]",0.0001,0.4,3,epoch_15,0.4325,0.0049,0.881,0.1085,0.8508,0.1454,38,0.8116,0.872,0.8137,44.0254
"[30, 20]",0.0001,0.6,1,epoch_405,0.78,0.1484,0.8635,0.1268,0.8247,0.1789,186,0.7279,0.8487,0.779,21.7604
"[60, 60]",0.0001,0.6,1,epoch_249,0.8057,0.1449,0.8765,0.116,0.8368,0.1695,78,0.7372,0.8492,0.7873,17.7037
"[60, 60, 40]",0.0001,0.6,1,epoch_234,0.7966,0.1445,0.8766,0.1157,0.8389,0.167,78,0.6814,0.8401,0.7704,68.3277
"[120, 60, 20]",0.0001,0.6,1,epoch_200,0.808,0.1325,0.8755,0.1114,0.8407,0.1535,75,0.6977,0.8569,0.7992,63.1106
"[120, 60, 40]",0.0001,0.6,1,epoch_201,0.8035,0.1405,0.8774,0.1134,0.8408,0.1581,77,0.7628,0.8617,0.7895,26.2775
"[30, 20]",0.0001,0.6,3,epoch_251,0.7658,0.154,0.8693,0.1158,0.8331,0.1653,72,0.4326,0.8569,0.8034,115.0428
"[60, 60]",0.0001,0.6,3,epoch_216,0.7941,0.1395,0.8733,0.1175,0.8333,0.1688,71,0.7302,0.865,0.8023,23.1934
"[60, 60, 40]",0.0001,0.6,3,epoch_218,0.7964,0.1426,0.8726,0.1189,0.8345,0.1698,71,0.614,0.8567,0.7831,79.18
"[120, 60, 20]",0.0001,0.6,3,epoch_29,0.4325,0.0049,0.87,0.1044,0.842,0.1399,72,0.7674,0.8625,0.8024,70.776
"[120, 60, 40]",0.0001,0.6,3,epoch_26,0.4348,0.0082,0.8826,0.1075,0.8515,0.1452,71,0.7419,0.8697,0.8069,32.6875
"[30, 20]",0.001,0,1,epoch_41,0.752,0.1462,0.851,0.1239,0.819,0.1683,38,0.7535,0.845,0.7906,1.5423
"[60, 60]",0.001,0,1,epoch_15,0.7425,0.1248,0.8592,0.1146,0.8303,0.1538,8,0.7326,0.849,0.7955,8.4016
