,Coefficients
Position,0.2400245277769884
Conservation,0.09418829294358778
SigNoise,0.5158125426345272
Consensus_A,-0.1196677404181533
Consensus_C,-0.04087760305309287
Consensus_D,-0.09496011233132237
Consensus_E,-0.07872654734364165
Consensus_F,-0.03776310554527615
Consensus_G,-0.02032351302429895
Consensus_H,-0.03994424207767313
Consensus_I,-0.16222139442653605
Consensus_K,-0.05327607264392382
Consensus_L,-0.10065262269211439
Consensus_M,-0.044175606828692954
Consensus_N,-0.04149481385133546
Consensus_P,-0.10059660664694543
Consensus_Q,0.00406689939594929
Consensus_R,-0.15307696455851177
Consensus_S,-0.09034619734852263
Consensus_T,-0.11568587668537467
Consensus_V,-0.0946140877278544
Consensus_W,-0.022034808820178546
Consensus_Y,-0.0134303548704603
Consensus_X,0.0
Change_A,-0.1109579166731522
Change_C,-0.08857386537358
Change_D,-0.05664548545682016
Change_E,-0.005695649557990782
Change_F,-0.02887529982293117
Change_G,-0.09004566354495476
Change_H,-0.07842667741404287
Change_I,-0.06343134905588381
Change_K,-0.03272192565164134
Change_L,-0.05141083789834426
Change_M,-0.06887777728227813
Change_N,-0.06788825488101391
Change_P,-0.011880494370785146
Change_Q,-0.04517723667553529
Change_R,-0.06467992559587975
Change_S,-0.1157983629377078
Change_T,-0.16798203180132604
Change_V,-0.15020838345040577
Change_W,-0.03324554973884349
Change_Y,-0.03915233286901759
Change_X,-0.04812635144582481
Domain_HD1,-0.06465726515982355
Domain_SPRY3-first,-0.09326616934684435
Domain_SPRY3-second,-0.08899134709931195
Domain_P2,-0.11052716221213438
Domain_Handle-domain,-0.21995228616073184
Domain_NTD,-0.007917630949018846
Domain_Central-domain,0.02013490221905023
Domain_HD2,-0.28200024564824494
Domain_Channel-domain,0.04666953639293984
Domain_SPRY2-second,-0.09981349674169106
Domain_P1,-0.1065334639284991
Domain_Outside,-0.22740260125781064
Domain_SPRY1-third,-0.031847007168255795
Domain_SPRY1-second,-0.018172809453535662
Domain_SPRY1-first,-0.11951942302481038
Domain_SPRY2-first,-0.01600490195923777
PSSM,-0.0977333376763108
RateOfEvolution,-0.3988668576565767
