Penalty,C,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
l1,0.0001,1,epoch_0,0.8933,0.0019,0.5,0.0,0.1067,0.0019,0,0.8933,0.5,0.1067,
l1,0.001,1,epoch_0,0.8933,0.0019,0.5,0.0,0.1067,0.0019,0,0.8933,0.5,0.1067,
l1,0.01,1,epoch_0,0.9037,0.0163,0.9104,0.0691,0.7258,0.2181,0,0.9037,0.9089,0.6145,2.3378
l1,0.1,1,epoch_0,0.8315,0.1632,0.7851,0.2549,0.6247,0.3082,0,0.8318,0.788,0.2975,0.3475
l1,1.0,1,epoch_0,0.761,0.2302,0.7642,0.2632,0.5514,0.3156,0,0.7613,0.7584,0.2519,0.177
l1,10.0,1,epoch_0,0.6873,0.2444,0.6821,0.2667,0.435,0.3138,0,0.6875,0.6845,0.2026,0.083
l1,100.0,1,epoch_0,0.6765,0.2487,0.6664,0.2649,0.4233,0.3095,0,0.6767,0.6699,0.1907,0.068
l1,1000.0,1,epoch_0,0.6755,0.248,0.6501,0.2602,0.3892,0.3114,0,0.6758,0.6576,0.1836,0.0585
l2,0.0001,1,epoch_0,0.9074,0.014,0.8811,0.1136,0.6516,0.2103,0,0.9074,0.815,0.4706,15.9401
l2,0.001,1,epoch_0,0.9074,0.014,0.878,0.1101,0.6443,0.2233,0,0.9074,0.815,0.464,2.5671
l2,0.01,1,epoch_0,0.9051,0.0174,0.8635,0.1126,0.6318,0.2467,0,0.9051,0.8232,0.4301,1.0445
l2,0.1,1,epoch_0,0.8504,0.1159,0.8128,0.2028,0.6045,0.2759,0,0.8506,0.8112,0.3479,0.4852
l2,1.0,1,epoch_0,0.7902,0.2071,0.7769,0.2379,0.5514,0.2844,0,0.7904,0.7752,0.2844,0.255
l2,10.0,1,epoch_0,0.7122,0.2284,0.705,0.2505,0.4432,0.3075,0,0.7124,0.7088,0.2242,0.125
l2,100.0,1,epoch_0,0.6812,0.2454,0.6761,0.2642,0.4267,0.3102,0,0.6814,0.6794,0.2034,0.0798
l2,1000.0,1,epoch_0,0.676,0.2484,0.6701,0.2655,0.4253,0.3098,0,0.6762,0.6715,0.1958,0.0679
