MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[30, 20]",0.0001,0,1,epoch_365,0.8189,0.1646,0.7991,0.1955,0.5678,0.2647,133,0.9004,0.7802,0.3403,0.7477
"[60, 60]",0.0001,0,1,epoch_204,0.8288,0.1578,0.8042,0.1913,0.576,0.2626,109,0.8825,0.8138,0.3727,0.6642
"[60, 60, 40]",0.0001,0,1,epoch_137,0.8566,0.1017,0.8188,0.1723,0.5777,0.2546,61,0.8933,0.7997,0.3726,1.1226
"[120, 60, 20]",0.0001,0,1,epoch_141,0.8297,0.1537,0.8166,0.1804,0.5942,0.2645,76,0.8966,0.8102,0.3536,0.8248
"[120, 60, 40]",0.0001,0,1,epoch_143,0.8264,0.1631,0.8128,0.188,0.6,0.2724,64,0.9027,0.8142,0.3769,0.9086
"[30, 20]",0.0001,0,3,epoch_390,0.8165,0.1639,0.7993,0.1912,0.5662,0.2682,143,0.9023,0.787,0.3405,0.7334
"[60, 60]",0.0001,0,3,epoch_209,0.8297,0.1515,0.8046,0.1909,0.5792,0.2616,103,0.8966,0.8111,0.3674,0.7328
"[60, 60, 40]",0.0001,0,3,epoch_165,0.8377,0.1412,0.8163,0.1788,0.5932,0.2622,55,0.8933,0.792,0.3701,1.1671
"[120, 60, 20]",0.0001,0,3,epoch_164,0.8236,0.1637,0.8118,0.1852,0.5902,0.2748,76,0.8976,0.8079,0.3566,0.8731
"[120, 60, 40]",0.0001,0,3,epoch_135,0.8358,0.1489,0.8162,0.1811,0.599,0.2655,65,0.9008,0.8158,0.3782,0.9165
"[30, 20]",0.0001,0.2,1,epoch_426,0.8226,0.1698,0.8007,0.1937,0.5738,0.2674,121,0.9013,0.7806,0.3483,0.8751
"[60, 60]",0.0001,0.2,1,epoch_187,0.8424,0.1336,0.8136,0.1837,0.5884,0.262,99,0.8952,0.816,0.3801,0.7781
"[60, 60, 40]",0.0001,0.2,1,epoch_123,0.8749,0.0715,0.8271,0.1604,0.5894,0.2516,59,0.8933,0.8037,0.3794,1.1486
"[120, 60, 20]",0.0001,0.2,1,epoch_163,0.8368,0.1472,0.8182,0.1792,0.5953,0.2701,78,0.899,0.816,0.3698,0.877
"[120, 60, 40]",0.0001,0.2,1,epoch_123,0.8518,0.1204,0.8271,0.1691,0.6038,0.2622,69,0.9023,0.8224,0.3882,0.9235
