Penalty,C,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
l1,0.0001,1,epoch_0,0.9124,0.0067,0.5,0.0,0.0876,0.0067,0,0.9124,0.5,0.0876,
l1,0.001,1,epoch_0,0.9124,0.0067,0.5,0.0,0.0876,0.0067,0,0.9124,0.5,0.0876,
l1,0.01,1,epoch_0,0.9124,0.0067,0.5,0.0,0.0876,0.0067,0,0.9124,0.4788,0.0831,-11.7483
l1,0.1,1,epoch_0,0.8965,0.0563,0.8769,0.1389,0.6977,0.3064,0,0.8967,0.7918,0.2854,0.6414
l1,1.0,1,epoch_0,0.8902,0.0757,0.8189,0.1585,0.5942,0.2718,0,0.8905,0.7555,0.2492,0.4122
l1,10.0,1,epoch_0,0.8336,0.1022,0.6687,0.1561,0.3027,0.1783,0,0.8341,0.6333,0.1803,0.1861
l1,100.0,1,epoch_0,0.8227,0.1008,0.6021,0.1623,0.2731,0.1594,0,0.8232,0.5754,0.1567,0.1486
l1,1000.0,1,epoch_0,0.8242,0.1022,0.5913,0.197,0.2946,0.1887,0,0.8247,0.5635,0.1482,0.1413
l2,0.0001,1,epoch_0,0.914,0.0119,0.8087,0.1931,0.5931,0.3239,0,0.9139,0.7659,0.2915,22.9042
l2,0.001,1,epoch_0,0.9124,0.012,0.8068,0.1959,0.592,0.3232,0,0.9124,0.7639,0.29,2.8626
l2,0.01,1,epoch_0,0.9077,0.0205,0.8084,0.1955,0.5875,0.3175,0,0.9077,0.7637,0.2854,0.8946
l2,0.1,1,epoch_0,0.8918,0.0655,0.8325,0.1691,0.6227,0.3054,0,0.892,0.7756,0.2832,0.539
l2,1.0,1,epoch_0,0.8839,0.0958,0.7937,0.1601,0.5368,0.2334,0,0.8842,0.7348,0.2335,0.3762
l2,10.0,1,epoch_0,0.8415,0.0984,0.6985,0.1511,0.3364,0.1808,0,0.8419,0.6597,0.1991,0.2268
l2,100.0,1,epoch_0,0.8274,0.1032,0.6317,0.1688,0.2995,0.1745,0,0.8279,0.5996,0.1738,0.1696
l2,1000.0,1,epoch_0,0.8242,0.1022,0.5873,0.1805,0.2811,0.1676,0,0.8247,0.565,0.1575,0.1468
