MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[30, 20]",0.0001,0,1,epoch_271,0.9124,0.0067,0.8431,0.1665,0.6342,0.2976,272,0.9124,0.7923,0.2937,0.9039
"[60, 60]",0.0001,0,1,epoch_133,0.9124,0.0067,0.8599,0.159,0.6826,0.311,115,0.9124,0.7919,0.3121,1.2041
"[60, 60, 40]",0.0001,0,1,epoch_108,0.9124,0.0067,0.8577,0.1609,0.6674,0.3234,117,0.9124,0.7912,0.3109,1.2653
"[120, 60, 20]",0.0001,0,1,epoch_148,0.9124,0.0067,0.8588,0.1531,0.6608,0.3087,123,0.9124,0.7981,0.3132,1.1164
"[120, 60, 40]",0.0001,0,1,epoch_123,0.9124,0.0067,0.861,0.1524,0.669,0.3148,125,0.9124,0.7956,0.3114,1.1398
"[30, 20]",0.0001,0,3,epoch_152,0.9124,0.0067,0.85,0.165,0.6592,0.3069,155,0.9124,0.8008,0.3011,1.6256
"[60, 60]",0.0001,0,3,epoch_140,0.9124,0.0067,0.8569,0.1581,0.6698,0.3067,141,0.9124,0.7925,0.307,1.105
"[60, 60, 40]",0.0001,0,3,epoch_102,0.9124,0.0067,0.8585,0.1587,0.6704,0.3239,114,0.9124,0.7924,0.3112,1.3223
"[120, 60, 20]",0.0001,0,3,epoch_146,0.9124,0.0067,0.8504,0.1601,0.6543,0.3018,135,0.9124,0.7928,0.305,1.0957
"[120, 60, 40]",0.0001,0,3,epoch_109,0.9124,0.0067,0.8521,0.1621,0.6537,0.3163,113,0.9124,0.7922,0.3021,1.2148
"[30, 20]",0.0001,0.2,1,epoch_287,0.9124,0.0067,0.8343,0.1718,0.6189,0.292,292,0.9124,0.7874,0.2894,0.9013
"[60, 60]",0.0001,0.2,1,epoch_152,0.9124,0.0067,0.8516,0.1659,0.672,0.3049,135,0.9124,0.7928,0.3129,1.1601
"[60, 60, 40]",0.0001,0.2,1,epoch_111,0.9124,0.0067,0.8522,0.1674,0.6677,0.3089,129,0.9124,0.7933,0.3144,1.1823
"[120, 60, 20]",0.0001,0.2,1,epoch_164,0.9124,0.0067,0.8535,0.1598,0.6615,0.3172,124,0.9124,0.7997,0.3172,1.113
"[120, 60, 40]",0.0001,0.2,1,epoch_131,0.9124,0.0067,0.8554,0.1565,0.6586,0.315,136,0.9124,0.7946,0.3059,1.044
"[30, 20]",0.0001,0.2,3,epoch_151,0.9124,0.0067,0.8412,0.1755,0.6552,0.3097,166,0.9124,0.8006,0.3027,1.6045
"[60, 60]",0.0001,0.2,3,epoch_150,0.9124,0.0067,0.8551,0.1615,0.6676,0.3168,131,0.9124,0.7924,0.312,1.2107
"[60, 60, 40]",0.0001,0.2,3,epoch_99,0.9124,0.0067,0.8524,0.1665,0.67,0.323,125,0.9124,0.7926,0.3148,1.2164
"[120, 60, 20]",0.0001,0.2,3,epoch_150,0.9124,0.0067,0.8471,0.1661,0.6487,0.3119,135,0.9124,0.7939,0.305,1.1106
"[120, 60, 40]",0.0001,0.2,3,epoch_129,0.9124,0.0067,0.8477,0.1676,0.6526,0.3154,130,0.9124,0.7915,0.2976,1.0677
"[30, 20]",0.0001,0.4,1,epoch_347,0.9124,0.0067,0.8262,0.1774,0.6118,0.2973,308,0.9124,0.7852,0.2858,0.9597
"[60, 60]",0.0001,0.4,1,epoch_179,0.9124,0.0067,0.8434,0.1716,0.6573,0.2979,154,0.9124,0.7897,0.3143,1.1512
"[60, 60, 40]",0.0001,0.4,1,epoch_128,0.9124,0.0067,0.8484,0.1719,0.6596,0.3047,142,0.9124,0.7928,0.3146,1.1349
