MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[20],0.0001,0.0,0,999,0.7364,0.7822,0.7156
"[30, 20]",0.0001,0.0,0,932,0.7623,0.8,0.7474
"[60, 20]",0.0001,0.0,0,920,0.7585,0.8029,0.7522
"[60, 60, 20]",0.0001,0.0,0,544,0.761,0.8014,0.7493
"[120, 60, 20]",0.0001,0.0,0,615,0.7675,0.8009,0.7538
[40],0.0001,0.0,0,1000,0.7533,0.7896,0.7327
"[40, 40]",0.0001,0.0,0,950,0.7468,0.8002,0.7509
"[60, 40]",0.0001,0.0,0,912,0.765,0.803,0.7538
"[120, 60, 40]",0.0001,0.0,0,456,0.7598,0.799,0.7502
[20],0.0001,0.1,0,1000,0.739,0.7829,0.7167
"[30, 20]",0.0001,0.1,0,1000,0.7572,0.7979,0.7429
"[60, 20]",0.0001,0.1,0,949,0.7676,0.803,0.7526
"[60, 60, 20]",0.0001,0.1,0,674,0.7663,0.8033,0.7533
"[120, 60, 20]",0.0001,0.1,0,537,0.7624,0.8022,0.7548
[40],0.0001,0.1,0,991,0.752,0.7889,0.7315
"[40, 40]",0.0001,0.1,0,1000,0.7611,0.8036,0.7536
"[60, 40]",0.0001,0.1,0,918,0.7663,0.804,0.754
"[120, 60, 40]",0.0001,0.1,0,414,0.7637,0.8043,0.7544
[20],0.0001,0.2,0,983,0.7416,0.7845,0.7224
"[30, 20]",0.0001,0.2,0,990,0.7611,0.7958,0.7437
"[60, 20]",0.0001,0.2,0,905,0.7637,0.8053,0.755
"[60, 60, 20]",0.0001,0.2,0,1000,0.7688,0.8024,0.7569
"[120, 60, 20]",0.0001,0.2,0,646,0.7585,0.805,0.7553
[40],0.0001,0.2,0,1000,0.7506,0.7911,0.7329
"[40, 40]",0.0001,0.2,0,1000,0.7689,0.8036,0.7536
"[60, 40]",0.0001,0.2,0,861,0.7702,0.8021,0.7511
"[120, 60, 40]",0.0001,0.2,0,483,0.7728,0.8042,0.756
[20],0.0001,0.3,0,1000,0.7468,0.7871,0.7247
"[30, 20]",0.0001,0.3,0,991,0.7702,0.7985,0.7469
"[60, 20]",0.0001,0.3,0,998,0.7689,0.804,0.7519
"[60, 60, 20]",0.0001,0.3,0,926,0.7675,0.8056,0.7564
"[120, 60, 20]",0.0001,0.3,0,877,0.7714,0.8033,0.7573
[40],0.0001,0.3,0,999,0.7624,0.7922,0.7367
"[40, 40]",0.0001,0.3,0,977,0.761,0.8041,0.7529
"[60, 40]",0.0001,0.3,0,890,0.7663,0.8033,0.7533
"[120, 60, 40]",0.0001,0.3,0,615,0.7714,0.8076,0.7599
