MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
[20],0.0001,0.0,0,1000,0.8944,0.832,0.5506
"[30, 20]",0.0001,0.0,0,972,0.9003,0.8626,0.5583
"[60, 20]",0.0001,0.0,0,573,0.898,0.8468,0.573
"[60, 60, 20]",0.0001,0.0,0,717,0.9021,0.8577,0.5617
"[120, 60, 20]",0.0001,0.0,0,354,0.9039,0.8611,0.5758
[40],0.0001,0.0,0,998,0.8985,0.8426,0.5652
"[40, 40]",0.0001,0.0,0,652,0.8994,0.8589,0.5769
"[60, 40]",0.0001,0.0,0,500,0.8985,0.8536,0.5714
"[120, 60, 40]",0.0001,0.0,0,329,0.9007,0.8651,0.5922
[20],0.0001,0.1,0,974,0.8953,0.8308,0.5559
"[30, 20]",0.0001,0.1,0,967,0.9012,0.862,0.5802
"[60, 20]",0.0001,0.1,0,601,0.8989,0.8509,0.5676
"[60, 60, 20]",0.0001,0.1,0,436,0.9016,0.8606,0.5726
"[120, 60, 20]",0.0001,0.1,0,367,0.9039,0.8606,0.5841
[40],0.0001,0.1,0,989,0.898,0.8444,0.5673
"[40, 40]",0.0001,0.1,0,822,0.9016,0.8651,0.583
"[60, 40]",0.0001,0.1,0,594,0.9007,0.857,0.5745
"[120, 60, 40]",0.0001,0.1,0,415,0.9034,0.8683,0.6086
[20],0.0001,0.2,0,998,0.8953,0.835,0.5612
"[30, 20]",0.0001,0.2,0,986,0.9039,0.8602,0.5827
"[60, 20]",0.0001,0.2,0,721,0.9012,0.8566,0.58
"[60, 60, 20]",0.0001,0.2,0,777,0.9007,0.8667,0.5964
"[120, 60, 20]",0.0001,0.2,0,489,0.9012,0.8665,0.5888
[40],0.0001,0.2,0,958,0.8989,0.8443,0.5718
"[40, 40]",0.0001,0.2,0,839,0.9043,0.8611,0.575
"[60, 40]",0.0001,0.2,0,604,0.9021,0.856,0.5826
"[120, 60, 40]",0.0001,0.2,0,415,0.9012,0.8689,0.6085
[20],0.0001,0.3,0,999,0.8971,0.8366,0.5609
"[30, 20]",0.0001,0.3,0,976,0.9035,0.8592,0.59
"[60, 20]",0.0001,0.3,0,884,0.9012,0.862,0.5812
"[60, 60, 20]",0.0001,0.3,0,787,0.9007,0.8656,0.5897
"[120, 60, 20]",0.0001,0.3,0,615,0.9003,0.8674,0.6073
[40],0.0001,0.3,0,967,0.8976,0.8446,0.5715
"[40, 40]",0.0001,0.3,0,696,0.903,0.8561,0.5859
"[60, 40]",0.0001,0.3,0,642,0.9007,0.8608,0.5912
"[120, 60, 40]",0.0001,0.3,0,489,0.9003,0.871,0.6104
[20],0.0001,0.4,0,995,0.8958,0.8364,0.5571
"[30, 20]",0.0001,0.4,0,994,0.9025,0.8596,0.5794
"[60, 20]",0.0001,0.4,0,937,0.9016,0.8643,0.6021
"[60, 60, 20]",0.0001,0.4,0,816,0.9007,0.8661,0.6012
"[120, 60, 20]",0.0001,0.4,0,647,0.9012,0.8697,0.6069
[40],0.0001,0.4,0,999,0.8994,0.8506,0.5787
"[40, 40]",0.0001,0.4,0,1000,0.9012,0.8659,0.5974
"[60, 40]",0.0001,0.4,0,560,0.8976,0.8524,0.5784
"[120, 60, 40]",0.0001,0.4,0,606,0.9021,0.8681,0.6088
[20],0.0001,0.5,0,987,0.8971,0.8391,0.5602
"[30, 20]",0.0001,0.5,0,996,0.9021,0.857,0.5801
"[60, 20]",0.0001,0.5,0,982,0.9043,0.8628,0.5888
"[60, 60, 20]",0.0001,0.5,0,892,0.9007,0.867,0.6076
"[120, 60, 20]",0.0001,0.5,0,753,0.9003,0.8676,0.6038
[40],0.0001,0.5,0,1000,0.8967,0.8488,0.5735
"[40, 40]",0.0001,0.5,0,988,0.9021,0.8631,0.5924
"[60, 40]",0.0001,0.5,0,960,0.9016,0.8654,0.5914
"[120, 60, 40]",0.0001,0.5,0,673,0.9034,0.8685,0.6087
[20],0.0001,0.6,0,998,0.8967,0.8381,0.5624
"[30, 20]",0.0001,0.6,0,991,0.9003,0.8561,0.5851
"[60, 20]",0.0001,0.6,0,982,0.8998,0.8603,0.592
"[60, 60, 20]",0.0001,0.6,0,987,0.9003,0.8648,0.5992
"[120, 60, 20]",0.0001,0.6,0,909,0.9016,0.869,0.6087
[40],0.0001,0.6,0,999,0.8971,0.8521,0.579
"[40, 40]",0.0001,0.6,0,1000,0.9016,0.8628,0.5985
"[60, 40]",0.0001,0.6,0,958,0.9025,0.8631,0.5946
"[120, 60, 40]",0.0001,0.6,0,912,0.9016,0.8683,0.6079
[20],0.0001,0.7,0,994,0.8953,0.8385,0.5598
"[30, 20]",0.0001,0.7,0,998,0.8976,0.8539,0.5789
"[60, 20]",0.0001,0.7,0,1000,0.8967,0.859,0.5895
"[60, 60, 20]",0.0001,0.7,0,994,0.9007,0.8628,0.6021
"[120, 60, 20]",0.0001,0.7,0,1000,0.9007,0.8638,0.6062
[40],0.0001,0.7,0,995,0.8976,0.8509,0.5765
"[40, 40]",0.0001,0.7,0,996,0.8989,0.8582,0.5968
"[60, 40]",0.0001,0.7,0,962,0.9007,0.8603,0.594
"[120, 60, 40]",0.0001,0.7,0,902,0.9012,0.8653,0.6061
[20],0.0001,0.8,0,1000,0.8903,0.835,0.5557
"[30, 20]",0.0001,0.8,0,1000,0.88,0.845,0.5711
"[60, 20]",0.0001,0.8,0,984,0.8885,0.8488,0.5804
"[60, 60, 20]",0.0001,0.8,0,998,0.8813,0.851,0.5874
"[120, 60, 20]",0.0001,0.8,0,993,0.8858,0.8547,0.5898
[40],0.0001,0.8,0,1000,0.8962,0.8456,0.571
"[40, 40]",0.0001,0.8,0,999,0.8944,0.8477,0.5764
"[60, 40]",0.0001,0.8,0,994,0.8967,0.8543,0.5862
"[120, 60, 40]",0.0001,0.8,0,994,0.8976,0.8585,0.5949
[20],0.0001,0.9,0,996,0.8822,0.8215,0.5382
"[30, 20]",0.0001,0.9,0,995,0.8777,0.7974,0.5199
"[60, 20]",0.0001,0.9,0,993,0.8777,0.7927,0.5218
"[60, 60, 20]",0.0001,0.9,0,991,0.8777,0.7567,0.4938
"[120, 60, 20]",0.0001,0.9,0,994,0.8777,0.7693,0.5008
[40],0.0001,0.9,0,1000,0.8912,0.8307,0.5506
"[40, 40]",0.0001,0.9,0,996,0.8777,0.8077,0.5291
"[60, 40]",0.0001,0.9,0,999,0.8777,0.8111,0.5359
"[120, 60, 40]",0.0001,0.9,0,996,0.8777,0.7744,0.4966
[20],0.001,0.0,0,999,0.894,0.8319,0.5533
"[30, 20]",0.001,0.0,0,998,0.9007,0.86,0.5769
"[60, 20]",0.001,0.0,0,589,0.8976,0.8491,0.5694
"[60, 60, 20]",0.001,0.0,0,625,0.903,0.8643,0.5625
"[120, 60, 20]",0.001,0.0,0,315,0.903,0.8607,0.5874
[40],0.001,0.0,0,989,0.8971,0.8424,0.5641
"[40, 40]",0.001,0.0,0,551,0.9003,0.8476,0.5738
"[60, 40]",0.001,0.0,0,511,0.898,0.8546,0.57
"[120, 60, 40]",0.001,0.0,0,337,0.9034,0.8697,0.5948
[20],0.001,0.1,0,1000,0.8958,0.8324,0.5521
"[30, 20]",0.001,0.1,0,923,0.903,0.8576,0.5703
"[60, 20]",0.001,0.1,0,800,0.9007,0.8579,0.572
"[60, 60, 20]",0.001,0.1,0,663,0.9034,0.8666,0.5794
"[120, 60, 20]",0.001,0.1,0,499,0.903,0.8688,0.6008
[40],0.001,0.1,0,926,0.8962,0.8408,0.5671
"[40, 40]",0.001,0.1,0,614,0.9007,0.8535,0.5816
"[60, 40]",0.001,0.1,0,539,0.9003,0.8545,0.5575
