,0
Position,
Conservation,
Signal_To_Noise,
Change_L,0.018797846511006355
Change_R,0.014739624224603176
Domain_Transmemberane-domain-16,0.014313887804746628
Domain_Transmemberane-domain-7,0.012567603029310703
Domain_GPHH,0.011620852164924145
Consensus_N,0.011588577181100845
Domain_phosphorylation-site-2,0.01105649583041668
Domain_phosphorylation-site-9,0.010982594452798367
Domain_Transmemberane-domain-6,0.010502934455871582
Domain_Transmemberane-domain-13,0.00984770618379116
Domain_Transmemberane-domain-10,0.009730000980198383
Change_K,0.008547727018594742
Consensus_F,0.00839201733469963
Domain_Interaction-with-FGF13,0.008047299459576607
Domain_Transmemberane-domain-20,0.007222678977996111
Domain_phosphorylation-site-11,0.0064769769087433815
Domain_Transmemberane-domain-18,0.005905402824282646
Domain_Transmemberane-domain-12,0.005854934919625521
Domain_phosphorylation-site-7,0.005618737544864416
Domain_Transmemberane-domain-15,0.0053541590459644794
Consensus_M,0.0053530666045844555
Change_S,0.005113858263939619
Domain_phosphorylation-site-6,0.004996281582862139
Change_A,0.004985293839126825
Domain_Methylation-2,0.004695485346019268
Consensus_G,0.00432825181633234
Consensus_S,0.003804305102676153
Change_V,0.003677417291328311
Domain_phosphorylation-site-8,0.0034058878663927317
Domain_Transmemberane-domain-14,0.0024782142136245966
Consensus_C,0.0022904686629772186
Domain_Transmemberane-domain-3,0.0020529176108539104
Change_Y,0.0019235684303566813
Consensus_Q,0.0019124557729810476
Domain_Transmemberane-domain-8,0.001785301137715578
Domain_Transmemberane-domain-4,0.0014514924259856343
Change_X,0.0011169168865308166
Domain_Transmemberane-domain-24,0.0009704219992272556
Domain_phosphorylation-site-10,0.0009523082990199327
Consensus_X,0.0006594995502382517
Consensus_A,0.0005683601484633982
Domain_Transmemberane-domain-5,0.0001424385845893994
Consensus_I,-0.00034091409179382026
Consensus_D,-0.00041580971446819603
Domain_Transmemberane-domain-21,-0.00042902393033728004
Consensus_W,-0.0007171114557422698
Change_P,-0.0009826493915170431
Domain_phosphorylation-site-4,-0.0013613025657832623
Change_W,-0.0013673395151272416
Domain_Transmemberane-domain-22,-0.0018905565375462174
Change_E,-0.0019022510387003422
Change_M,-0.0023696119897067547
Consensus_P,-0.0025970032438635826
Domain_phosphorylation-site-1,-0.0026598370168358088
Change_Q,-0.0029574863146990538
Change_G,-0.0029636237304657698
Change_F,-0.003065343713387847
Domain_phosphorylation-site-14,-0.0032101271208375692
Domain_Transmemberane-domain-9,-0.003333952045068145
Consensus_K,-0.003388060024008155
Domain_phosphorylation-site-12,-0.00391767080873251
Consensus_V,-0.0039802128449082375
Domain_phosphorylation-site-5,-0.004495106637477875
Domain_Transmemberane-domain-1,-0.00490071764215827
Domain_phosphorylation-site-3,-0.004973523784428835
Domain_Interaction-with-NEDD4-NEDD4L-WWP2,-0.004997763317078352
Change_I,-0.005188462324440479
Consensus_Y,-0.005686452146619558
Consensus_L,-0.005776016507297754
Domain_phosphorylation-site-13,-0.006595396902412176
Domain_Sodium-ion-transport,-0.006741994526237249
Change_C,-0.006876906845718622
Domain_Methylation-1,-0.007705209776759148
Domain_Transmemberane-domain-17,-0.007965786382555962
Domain_Methylation-3,-0.00809039082378149
Change_D,-0.008603598922491074
Domain_Transmemberane-domain-2,-0.009791367687284946
Domain_Transmemberane-domain-11,-0.009916459210216999
Consensus_T,-0.010006016120314598
Consensus_E,-0.010127296671271324
Domain_Transmemberane-domain-19,-0.010405379347503185
Domain_Transmemberane-domain-23,-0.010691285133361816
Change_H,-0.012222900986671448
Consensus_R,-0.012471732683479786
Consensus_H,-0.013153372332453728
Change_N,-0.013528958894312382
Domain_Na_channel_gate,-0.014758097007870674
Change_T,-0.01527599710971117
