,0
Change_A,0.17166182398796082
Consensus_C,0.17005707323551178
Consensus_H,0.1638183891773224
Change_F,0.15296012163162231
Consensus_K,0.14374716579914093
Consensus_I,0.1402030736207962
Consensus_E,0.13813668489456177
Consensus_S,0.13595671951770782
Consensus_G,0.13587360084056854
Consensus_V,0.13538411259651184
Consensus_D,0.13413240015506744
Change_H,0.1299782395362854
Change_R,0.12872885167598724
Change_N,0.1223289966583252
Change_C,0.1221398189663887
Consensus_R,0.12098955363035202
Change_W,0.11927025020122528
Consensus_F,0.11360093206167221
Change_V,0.11338148266077042
Consensus_W,0.10664407908916473
Consensus_N,0.10589384287595749
Change_S,0.10587699711322784
Change_D,0.1041194498538971
Consensus_P,0.0992303267121315
Change_Q,0.09730971604585648
Change_G,0.09526392072439194
Change_I,0.09260129928588867
Change_T,0.09138000756502151
Change_Y,0.09035077691078186
Change_L,0.09005555510520935
Consensus_L,0.08166473358869553
Consensus_T,0.07675238698720932
Change_M,0.06612886488437653
Consensus_Y,0.06327279657125473
Consensus_M,0.062492985278367996
Change_P,0.04475895315408707
Consensus_A,0.04168396815657616
Change_K,0.011717199347913265
Domain_SPRY3-second,0.010673442855477333
Domain_Central-domain,0.009028508327901363
Domain_Handle-domain,0.004624373745173216
Domain_Outside,0.003405410796403885
Domain_P1,-0.0001356589636998251
Domain_P2,-0.0012439286801964045
Domain_SPRY2-first,-0.0018858961993828416
Domain_SPRY1-third,-0.002945630345493555
Domain_HD2,-0.0033623953349888325
Domain_NTD,-0.004553990438580513
Domain_SPRY3-first,-0.005335379857569933
Domain_SPRY1-second,-0.0054744272492825985
Domain_SPRY1-first,-0.006459282245486975
Domain_Channel-domain,-0.0075454614125192165
Domain_SPRY2-second,-0.008363467641174793
Consensus_Q,-0.010767200030386448
Domain_HD1,-0.013705779798328876
Change_E,-0.03496579825878143
Position,-0.04008539766073227
Conservation,-0.09018321335315704
