,0
Consensus_Q,0.09742043167352676
Consensus_M,0.09303736686706543
Change_S,0.09290992468595505
Change_V,0.08617814630270004
Consensus_D,0.08309745788574219
Change_Q,0.07731796056032181
Consensus_N,0.07717159390449524
Change_N,0.07477845251560211
Change_L,0.06321306526660919
Consensus_G,0.05839904025197029
Change_W,0.054039910435676575
Change_K,0.05267171561717987
Change_T,0.05184609815478325
Consensus_P,0.04583616554737091
Consensus_V,0.043861471116542816
Change_C,0.043761979788541794
Change_H,0.039590682834386826
Consensus_K,0.0382133349776268
Consensus_S,0.03414886072278023
Change_I,0.030754029750823975
Change_E,0.02762509509921074
Change_G,0.023797927424311638
Change_A,0.019004611298441887
Domain_Central-domain,0.013032364659011364
Consensus_W,0.011800725013017654
Domain_SPRY1-third,0.0049435109831392765
Domain_SPRY3-first,0.004035475198179483
Domain_P2,0.0030139239970594645
Consensus_C,0.0027355216443538666
Domain_HD1,0.001861273543909192
Domain_SPRY2-first,0.0017462659161537886
Domain_SPRY3-second,0.0006093811243772507
Consensus_A,-0.0032356714364141226
Domain_SPRY2-second,-0.0035547635052353144
Change_R,-0.0037314635701477528
Domain_SPRY1-first,-0.005644519347697496
Consensus_T,-0.007013340014964342
Domain_Handle-domain,-0.007294681388884783
Consensus_E,-0.009212521836161613
Domain_NTD,-0.00949700828641653
Domain_SPRY1-second,-0.010449940338730812
Domain_Channel-domain,-0.010800899006426334
Domain_HD2,-0.01113174855709076
Position,-0.01195296086370945
Consensus_I,-0.012390929274260998
Domain_P1,-0.013206775300204754
Conservation,-0.014927243813872337
Consensus_F,-0.016439136117696762
Domain_Outside,-0.021118145436048508
Change_Y,-0.02245185151696205
Change_D,-0.02570728026330471
Change_M,-0.028931915760040283
Consensus_Y,-0.030706346035003662
Consensus_R,-0.03595174849033356
Consensus_H,-0.03677985817193985
Change_P,-0.04355311766266823
Consensus_L,-0.052069518715143204
Change_F,-0.06652853637933731
